CampaignID	Sample	Latitude	Longitude	Date	Time	Location	Status	Site	Depth	Observer	Successful
2014-12_Geographe.Bay_stereoBRUVs	143	-33.5761667	115.2367	2014-12-15	13:24:00	Geographe Bay	Fished		23.2	Lizzy	Yes
2014-12_Geographe.Bay_stereoBRUVs	144	-33.5342333	115.4323167	2014-12-16	15:37:00	Geographe Bay	Fished		12.3	Lauren	Yes
2014-12_Geographe.Bay_stereoBRUVs	151	-33.4768	115.4328833	2014-12-16	09:12:00	Geographe Bay	Fished		17.2	Lizzy	Yes
2014-12_Geographe.Bay_stereoBRUVs	154	-33.6033667	115.19675	2014-12-15	10:58:00	Geographe Bay	Fished		13.6	Lauren	Yes
2014-12_Geographe.Bay_stereoBRUVs	160	-33.6033667	115.2477833	2014-12-16	15:24:00	Geographe Bay	Fished		13.8	Lauren	Yes
2014-12_Geographe.Bay_stereoBRUVs	167	-33.4627333	115.4805667	2014-12-16	09:25:00	Geographe Bay	Fished		14.4	Laura	Yes
2014-12_Geographe.Bay_stereoBRUVs	170	-33.54165	115.3698333	2014-12-16	13:39:00	Geographe Bay	Fished		15.8	Lizzy	Yes
2014-12_Geographe.Bay_stereoBRUVs	175	-33.5518167	115.12275	2014-12-15	06:34:00	Geographe Bay	Fished		28.5	Lizzy	Yes
2014-12_Geographe.Bay_stereoBRUVs	176	-33.59	115.1290667	2014-12-15	06:59:00	Geographe Bay	Fished		15.4	Lizzy	Yes
2014-12_Geographe.Bay_stereoBRUVs	183	-33.5687667	115.2488	2014-12-15	13:29:00	Geographe Bay	Fished		22.6	Lizzy	Yes
2014-12_Geographe.Bay_stereoBRUVs	192	-33.4273167	115.5755833	2014-12-14	11:19:00	Geographe Bay	Fished		4.9	Lizzy	Yes
2014-12_Geographe.Bay_stereoBRUVs	196	-33.5098167	115.4045	2014-12-16	12:49:00	Geographe Bay	Fished		15.9	Lauren	Yes
2014-12_Geographe.Bay_stereoBRUVs	199	-33.5975167	115.2108833	2014-12-15	10:53:00	Geographe Bay	Fished		15.2	Lizzy	Yes
2014-12_Geographe.Bay_stereoBRUVs	202	-33.5779333	115.4117167	2014-12-17	06:04:00	Geographe Bay	Fished		9.8	Lauren	Yes
2014-12_Geographe.Bay_stereoBRUVs	207	-33.5738333	115.23165	2014-12-12	08:06:00	Geographe Bay	Fished		23.3	Lizzy	Yes
2014-12_Geographe.Bay_stereoBRUVs	208	-33.3873	115.5742333	2014-12-14	11:03:00	Geographe Bay	Fished		7.2	Lizzy	Yes
