"","X","Sample","UWA.con.number","Time.x","Site.x","Location.x","Status.x","Depth.x","Maxn.analyst","Maxn.complete.yyyymmdd","Maxn.checker","Curtin.Observer","Curtin.length.analyst","Observer.x","Successful.count.x","Successful.length.x","Left.cam","Right.cam","Video.notes","Con.hdd.number","Raw.hdd.number","Habitat.image.saved","Vis.in.metres","Habitat.classification","Length.analyst","Length.complete.date.yyyymmdd","Notes","Latitude","Longitude","Date","Time.y","Location.y","Status.y","Site.y","Depth.y","Observer.y","Successful.count.y","Successful.length.y","Comment"
"26","2014-12_Geographe.Bay_stereoBRUVs","25","1","07:10:00",NA,"Geographe Bay","Special Purpose Zone (Mining Exclusion)","42.5","Hayley","2.7.20","Brooke Gibbons","Lauren","Lizzy","Hayley","","",19,20,"Y","2",NA,NA,NA,NA,NA,NA,"",-33.3833333,115.0827833,20141210,"07:10:00","Geographe.Bay","Fished",NA,42.5,"Lauren","Yes","Yes",NA
"27","2014-12_Geographe.Bay_stereoBRUVs","26","1","11:02:00",NA,"Geographe Bay","Multiple Use Zone","20.5","Hayley","3.7.20","Brooke Gibbons","Laura","Damo","Hayley","","",9,10,"","3",NA,NA,NA,NA,NA,NA,"",-33.5500333,115.3236167,20141212,"11:02:00","Geographe.Bay","Fished",NA,20.5,"Laura","Yes","Yes",NA
"28","2014-12_Geographe.Bay_stereoBRUVs","27","1","07:00:00",NA,"Geographe Bay","Multiple Use Zone","28.2","Hayley","3.7.20","Brooke Gibbons","Lauren","Ronen","Hayley","","",23,24,"Y","1",NA,NA,NA,NA,NA,NA,"1B=BLUE HOUSING",-33.5463667,115.1883833,20141209,"07:00:00","Geographe.Bay","Fished",NA,28.2,"Lauren","Yes","Yes",NA
"29","2014-12_Geographe.Bay_stereoBRUVs","28","1","07:07:00",NA,"Geographe Bay","Special Purpose Zone (Mining Exclusion)","34","Hayley","3.7.20","Brooke - two to check with todd","Lizzy","Lizzy","Hayley","","",15,16,"Y","2",NA,NA,NA,NA,NA,NA,"",-33.42715,115.2872833,20141211,"07:07:00","Geographe.Bay","Fished",NA,34,"Lizzy","Yes","Yes",NA
"30","2014-12_Geographe.Bay_stereoBRUVs","29","1","10:30:00",NA,"Geographe Bay","Multiple Use Zone","34.3","Hayley","3.7.20","","Lauren","Lizzy","Hayley","","",23,24,"Y","2",NA,NA,NA,NA,NA,NA,"",-33.4869667,115.1764,20141209,"10:30:00","Geographe.Bay","Fished",NA,34.3,"Lauren","Yes","Yes",NA
"31","2014-12_Geographe.Bay_stereoBRUVs","30","1","06:37:00",NA,"Geographe Bay","Special Purpose Zone (Mining Exclusion)","31.8","Hayley","13.7.20","","Lizzy","Lauren","Hayley","","",9,10,"Y","2",NA,NA,NA,NA,NA,NA,"",-33.42405,115.33405,20141211,"06:37:00","Geographe.Bay","Fished",NA,31.8,"Lizzy","Yes","Yes",NA
"32","2014-12_Geographe.Bay_stereoBRUVs","31","2","05:55:00",NA,"Geographe Bay","Multiple Use Zone","26.3","Logan","9.7.20","","laura","Lauren","Logan","","",15,16,"","4",NA,NA,NA,NA,NA,NA,"",-33.5986333,115.2369167,20141212,"05:55:00","Geographe.Bay","Fished",NA,26.3,"laura","Yes","Yes",NA
"33","2014-12_Geographe.Bay_stereoBRUVs","32","1","07:53:00",NA,"Geographe Bay","Special Purpose Zone (Mining Exclusion)","14.1","Hayley","13.7.20","","Laura","Lizzy","Hayley","","",11,12,"","3",NA,NA,NA,NA,NA,NA,"",-33.4807833,115.46205,20141213,"07:53:00","Geographe.Bay","Fished",NA,14.1,"Laura","Yes","Yes",NA
"34","2014-12_Geographe.Bay_stereoBRUVs","33","","08:54:00",NA,"Geographe Bay","Special Purpose Zone (Mining Exclusion)","34.1","","","","Lauren","N/A","","","No",13,14,"R=FAIL","1L",NA,NA,NA,NA,NA,NA,"",-33.3527667,115.3204833,20141211,"08:54:00","Geographe.Bay","Fished",NA,34.1,"Lauren","Yes","Yes",NA
"35","2014-12_Geographe.Bay_stereoBRUVs","34","","07:05:00",NA,"Geographe Bay","Special Purpose Zone (Mining Exclusion)","43","","","","Lizzy","N/A","","","No",5,6,"Right=FAIL","2L",NA,NA,NA,NA,NA,NA,"",-33.3845167,115.0739,20141210,"07:05:00","Geographe.Bay","Fished",NA,43,"Lizzy","Yes","Yes",NA
"36","2014-12_Geographe.Bay_stereoBRUVs","35","3","11:14:00",NA,"Geographe Bay","Special Purpose Zone (Mining Exclusion)","27.9","","","","Lizzy","Lizzy","","","",25,26,"","5",NA,NA,NA,NA,NA,NA,"",-33.4055,115.4157167,20141213,"11:14:00","Geographe.Bay","Fished",NA,27.9,"Lizzy","Yes","Yes",NA
"37","2014-12_Geographe.Bay_stereoBRUVs","36","1","11:17:00",NA,"Geographe Bay","Special Purpose Zone (Mining Exclusion)","38.2","Hayley","13.7.20","","Laura","Lizzy","Hayley","","",13,14,"Y","2",NA,NA,NA,NA,NA,NA,"",-33.4269,115.20765,20141210,"11:17:00","Geographe.Bay","Fished",NA,38.2,"Laura","Yes","Yes",NA
"38","2014-12_Geographe.Bay_stereoBRUVs","37","1","09:11:00",NA,"Geographe Bay","Special Purpose Zone (Mining Exclusion)","30.3","Hayley","14.07.20","","Lizzy","Laura","Hayley","","",19,20,"Y","1",NA,NA,NA,NA,NA,NA,"",-33.3585,115.3721,20141211,"09:11:00","Geographe.Bay","Fished",NA,30.3,"Lizzy","Yes","Yes",NA
"39","2014-12_Geographe.Bay_stereoBRUVs","38","1","12:45:00",NA,"Geographe Bay","Multiple Use Zone","34.5","Hayley ","16.07.20","","Lizzy","Ronen","Hayley ","","",11,12,"Y","1",NA,NA,NA,NA,NA,NA,"",-33.5036833,115.1274333,20141209,"12:45:00","Geographe.Bay","Fished",NA,34.5,"Lizzy","Yes","Yes",NA
"40","2014-12_Geographe.Bay_stereoBRUVs","39","1","13:20:00",NA,"Geographe Bay","Special Purpose Zone (Mining Exclusion)","19.8","Hayley","16.07.20","","Lizzy","Laura","Hayley","","",15,16,"Y","1",NA,NA,NA,NA,NA,NA,"",-33.465,115.43285,20141211,"13:20:00","Geographe.Bay","Fished",NA,19.8,"Lizzy","Yes","Yes",NA
"41","2014-12_Geographe.Bay_stereoBRUVs","40","1","09:57:00",NA,"Geographe Bay","Special Purpose Zone (Mining Exclusion)","33.7","Hayley","16.07.20","","Lauren","Laura","Hayley","","",19,20,"Y","1",NA,NA,NA,NA,NA,NA,"",-33.4719667,115.2287167,20141209,"09:57:00","Geographe.Bay","Fished",NA,33.7,"Lauren","Yes","Yes",NA
"42","2014-12_Geographe.Bay_stereoBRUVs","41","1","07:35:00",NA,"Geographe Bay","Special Purpose Zone (Mining Exclusion)","42.5","Hayley","16.07.20","","Laura","Damo","Hayley","","",17,18,"Y","1",NA,NA,NA,NA,NA,NA,"",-33.36785,115.0985833,20141210,"07:35:00","Geographe.Bay","Fished",NA,42.5,"Laura","Yes","Yes",NA
"43","2014-12_Geographe.Bay_stereoBRUVs","42","2","13:13:00",NA,"Geographe Bay","National Park Zone","13","Logan","13.07.20","Brooke Gibbons","laura","Lauren","Logan","","",23,24,"","4",NA,NA,NA,NA,NA,NA,"",-33.5425167,115.3862333,20141212,"13:13:00","Geographe.Bay","Fished",NA,13,"laura","Yes","Yes",NA
"44","2014-12_Geographe.Bay_stereoBRUVs","43","","06:44:00",NA,"Geographe Bay","","26.3","","","","N/A","N/A","","N","N",25,26,"","",NA,NA,NA,NA,NA,NA,"FACING UP",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"45","2014-12_Geographe.Bay_stereoBRUVs","44","1","06:54:00",NA,"Geographe Bay","Special Purpose Zone (Mining Exclusion)","34.4","Hayley","17.07.20","","Lauren","Lauren","Hayley","","",21,22,"Y","2",NA,NA,NA,NA,NA,NA,"",-33.3984333,115.30965,20141211,"06:54:00","Geographe.Bay","Fished",NA,34.4,"Lauren","Yes","Yes",NA
