 ,Sample,UWA.con.number,Latitude,Longitude,Date,Time,Site,Location,Status,Depth,Maxn.analyst,Maxn.complete.yyyymmdd,Maxn.checker,Curtin.Observer,Curtin.length.analyst,Observer,Successful.count,Successful.length,Left.cam,Right.cam,Video.notes,Con.hdd.number,Raw.hdd.number,Habitat.image.saved,Vis.in.metres,Habitat.classification ,Length.analyst,Length.complete.date.yyyymmdd,Notes
2014-12_Geographe.Bay_stereoBRUVs,112,1,,,2014-12-11,12:35:00,,Geographe Bay,Special Purpose Zone (Mining Exclusion),14.8,Hayley, 4.8.20,,Laura,Lizzy,Hayley,,,17,18,Y,1,,,,,,,
2014-12_Geographe.Bay_stereoBRUVs,113,3 (Left only),,,2014-12-10,13:45:00,,Geographe Bay,Special Purpose Zone (Mining Exclusion),36.6,,,,Laura,Laura,,,,19,20,Y,1L,,,,,,,
2014-12_Geographe.Bay_stereoBRUVs,114,3 (Right only),,,2014-12-10,10:20:00,,Geographe Bay,Special Purpose Zone (Mining Exclusion),39.7,,,,Lizzy,Lizzy,,,,23,24,Y,1R,,,,,,,
2014-12_Geographe.Bay_stereoBRUVs,115,1,,,2014-12-13,10:46:00,,Geographe Bay,Special Purpose Zone (Mining Exclusion),25.2,Logan,16.07.20,,Laura,Damo,Logan,,,9,10,,3,,,,,,,
2014-12_Geographe.Bay_stereoBRUVs,116,1,,,2014-12-09,06:20:00,,Geographe Bay,Multiple Use Zone,29.7,Hayley ,4.8.20,,Laura,Laura,Hayley ,,,5,6,Y,1,,,,,,,
2014-12_Geographe.Bay_stereoBRUVs,122,2,,,2014-12-13,05:48:00,,Geographe Bay,Multiple Use Zone,13.3,Logan,4.8.20,,Lauren,Lauren,Logan,,,13,14,,4,,,,,,,
2014-12_Geographe.Bay_stereoBRUVs,119,2,,,2014-12-14,11:25:00,,Geographe Bay,,5.2,,,,Lizzy,Laura,,,,17,18,,3,,,,,,,
2014-12_Geographe.Bay_stereoBRUVs,135,2,,,2014-12-16,12:54:00,,Geographe Bay,Multiple Use Zone,15.8,Logan,4.8.20,,Lauren,Laura,Logan,,,11,12,,3,,,,,,,
2014-12_Geographe.Bay_stereoBRUVs,128,,,,2014-12-16,07:08:00,,Geographe Bay,,14.7,,,,N/A,N/A,,N,N,25,26,,,,,,,,,FACING UP
2014-12_Geographe.Bay_stereoBRUVs,139,3,,,2014-12-17,08:29:00,,Geographe Bay,Multiple Use Zone,13.4,,,,Lauren,Damo,,,,25,26,,5,,,,,,,
2014-12_Geographe.Bay_stereoBRUVs,138,3,,,2014-12-15,06:50:00,,Geographe Bay,,15,,,,Lauren,Damo,,,,17,18,,5,,,,,,,
2014-12_Geographe.Bay_stereoBRUVs,143,2,,,2014-12-15,13:24:00,,Geographe Bay,Multiple Use Zone,23.2,Logan,5.8.20,,Lizzy,Laura,Logan,,,13,14,,3,,,,,,,
2014-12_Geographe.Bay_stereoBRUVs,151,3,,,2014-12-16,09:12:00,,Geographe Bay,Special Purpose Zone (Mining Exclusion),17.2,,,,Lizzy,Damo,,,,19,20,,5,,,,,,,
2014-12_Geographe.Bay_stereoBRUVs,144,2,,,2014-12-16,15:37:00,,Geographe Bay,,12.3,,,,Lauren,Laura,,,,13,14,,3,,,,,,,
2014-12_Geographe.Bay_stereoBRUVs,160,2,,,2014-12-16,15:24:00,,Geographe Bay,Multiple Use Zone,N/A,Logan,5.8.20,,Lauren,Damo,Logan,,,19,20,,3,,,,,,,
2014-12_Geographe.Bay_stereoBRUVs,154,3,,,2014-12-15,10:58:00,,Geographe Bay,,13.6,,,,Lauren,Damo,,,,23,24,,5,,,,,,,
2014-12_Geographe.Bay_stereoBRUVs,167,3,,,2014-12-16,09:25:00,,Geographe Bay,Special Purpose Zone (Mining Exclusion),14.4,,,,Laura,Damo,,,,21,22,,5,,,,,,,
2014-12_Geographe.Bay_stereoBRUVs,170,2,,,2014-12-16,13:39:00,,Geographe Bay,National Park Zone,15.8,Logan,10.8.20,,Lizzy,Lauren,Logan,,,21,22,,4,,,,,,,
2014-12_Geographe.Bay_stereoBRUVs,183,2,,,2014-12-15,13:29:00,,Geographe Bay,Multiple Use Zone,22.6,Logan,16.07.20,,Lizzy,Laura,Logan,,,9,10,,3,,,,,,,
2014-12_Geographe.Bay_stereoBRUVs,175,2,,,2014-12-15,06:34:00,,Geographe Bay,,28.5,,,,Lizzy,Lauren,,,,19,20,,4,,,,,,,
2014-12_Geographe.Bay_stereoBRUVs,176,2,,,2014-12-15,06:59:00,,Geographe Bay,,15.4,,,,Lizzy,Laura,,,,11,12,,3,,,,,,,
2014-12_Geographe.Bay_stereoBRUVs,196,2,,,2014-12-16,12:49:00,,Geographe Bay,Multiple Use Zone,15.9,Logan,5.8.20,,Lauren,Damo,Logan,,,25,26,,3,,,,,,,
2014-12_Geographe.Bay_stereoBRUVs,192,2,,,2014-12-14,11:19:00,,Geographe Bay,,4.9,,,,Lizzy,Laura,,,,13,14,,3,,,,,,,
2014-12_Geographe.Bay_stereoBRUVs,207,1,,,2014-12-12,08:06:00,,Geographe Bay,Habitat Protection Zone,23.3,Hayley,4.8.20,,Lizzy,Tamy,Hayley,,,11,12,,2,,,,,,,
2014-12_Geographe.Bay_stereoBRUVs,199,,,,2014-12-15,10:53:00,,Geographe Bay,,15.2,,,,Lizzy,Lizzy,,,,17,18,,5R,,,,,,,
2014-12_Geographe.Bay_stereoBRUVs,202,2,,,2014-12-17,06:04:00,,Geographe Bay,,9.8,,,,Lauren,Lauren,,,,9,10,,4,,,,,,,
2014-12_Geographe.Bay_stereoBRUVs,224,1,,,2014-12-16,06:59:00,,Geographe Bay,Special Purpose Zone (Mining Exclusion),16.5,Hayley,4.8.20,,Lauren,Lizzy,Hayley,,,23,24,,2,,,,,,,
2014-12_Geographe.Bay_stereoBRUVs,208,2,,,2014-12-14,11:03:00,,Geographe Bay,,7.2,,,,Lizzy,Laura,,,,19,20,,3,,,,,,,
2014-12_Geographe.Bay_stereoBRUVs,215,,,,2014-12-15,10:45:00,,Geographe Bay,,14.1,,,,Lizzy,N/A,,,N,9,10,,4R,,,,,,,LEFT CAM FAIL
2014-12_Geographe.Bay_stereoBRUVs,218,3,,,2014-12-17,09:46:00,,Geographe Bay,,14.7,,,,Laura,Laura,,,,11,12,,5,,,,,,,
2014-12_Geographe.Bay_stereoBRUVs,240,3,,,2014-12-16,08:56:00,,Geographe Bay,Special Purpose Zone (Mining Exclusion),18.9,,,,Lizzy,Damo,,,,13,14,,5,,,,,,,"UPSIDE DOWN, GOOD"
2014-12_Geographe.Bay_stereoBRUVs,231,,,,2014-12-14,13:44:00,,Geographe Bay,,10.8,,,,N/A,N/A,,N,N,9,10,,,,,,,,,FACING UP
2014-12_Geographe.Bay_stereoBRUVs,234,3,,,2014-12-17,10:03:00,,Geographe Bay,,9.3,,,,Laura,Damo,,,,13,14,,5,,,,,,,
2014-12_Geographe.Bay_stereoBRUVs,236,3,,,2014-12-16,10:45:00,,Geographe Bay,,13.1,,,,Lauren,Lizzy,,,,21,22,,5,,,,,,,
2014-12_Geographe.Bay_stereoBRUVs,256,3,,,2014-12-14,13:12:00,,Geographe Bay,Special Purpose Zone (Mining Exclusion),11.1,,,,Lizzy,Damo,,,,11,12,,5,,,,,,,
2014-12_Geographe.Bay_stereoBRUVs,247,2,,,2014-12-15,06:30:00,,Geographe Bay,,26.4,,,,Lizzy,Lauren,,,,15,16,,4,,,,,,,
2014-12_Geographe.Bay_stereoBRUVs,250,,,,2014-12-16,15:17:00,,Geographe Bay,,10,,,,Laura,N/A,,,N,5,6,,5R,,,,,,,LEFT FAIL
2014-12_Geographe.Bay_stereoBRUVs,270,2,,,2014-12-13,06:00:00,,Geographe Bay,Multiple Use Zone,13.7,Logan ,21.07.20,,Laura,Lauren,Logan ,,,5,6,,4,,,,,,,
2014-12_Geographe.Bay_stereoBRUVs,267,2,,,2014-12-15,06:22:00,,Geographe Bay,,23.2,,,,Lizzy,Lauren,,,,5,6,,4,,,,,,,
2014-12_Geographe.Bay_stereoBRUVs,271,2,,,2014-12-12,06:06:00,,Geographe Bay,Habitat Protection Zone,27.3,Logan ,21.07.20,,Laura,Lauren,Logan ,,,21,22,,4,,,,,,,
2014-12_Geographe.Bay_stereoBRUVs,272,3,,,2014-12-14,08:37:00,,Geographe Bay,Special Purpose Zone (Mining Exclusion),11.7,,,,Lizzy,Damo,,,,25,26,,5,,,,,,,
2014-12_Geographe.Bay_stereoBRUVs,282,3,,,2014-12-17,08:02:00,,Geographe Bay,Multiple Use Zone,18.2,,,,Laura,Damo,,,,15,16,,5,,,,,,,
2014-12_Geographe.Bay_stereoBRUVs,279,,,,2014-12-16,11:32:00,,Geographe Bay,Multiple Use Zone,14.2,,,,Lizzy,N/A,,,No,25,26,,4,,,,,,,LEFT FAIL
2014-12_Geographe.Bay_stereoBRUVs,287,2,,,2014-12-15,10:50:00,,Geographe Bay,Habitat Protection Zone,16.4,Logan,27.07.20,,Lizzy,Lauren,Logan,,,13,14,,4,,,,,,,
2014-12_Geographe.Bay_stereoBRUVs,288,3,,,2014-12-16,09:29:00,,Geographe Bay,Special Purpose Zone (Mining Exclusion),14.3,,,,Laura,Damo,,,,5,6,,5,,,,,,,
2014-12_Geographe.Bay_stereoBRUVs,316,,,,2014-12-14,10:49:00,,Geographe Bay,Special Purpose Zone (Mining Exclusion),9.3,,,,Lauren,Lizzy,,,,15,16,,BH,,,,,,,
2014-12_Geographe.Bay_stereoBRUVs,295,3,,,2014-12-16,15:50:00,,Geographe Bay,,2.5,,,,Lauren,Damo,,,,11,12,,5,,,,,,,
2014-12_Geographe.Bay_stereoBRUVs,298,2,,,2014-12-15,06:56:00,,Geographe Bay,,18.1,,,,Lauren,Lauren,,,,23,24,,4,,,,,,,
2014-12_Geographe.Bay_stereoBRUVs,304,2,,,2014-12-15,10:17:00,,Geographe Bay,,13.7,,,,Lizzy,Lauren,,,,5,6,,4,,,,,,,
2014-12_Geographe.Bay_stereoBRUVs,314,2,,,2014-12-15,09:03:00,,Geographe Bay,,20,,,,Lizzy,Laura,,,,5,6,,3,,,,,,,
2014-12_Geographe.Bay_stereoBRUVs,320,3,,,2014-12-16,08:49:00,,Geographe Bay,Special Purpose Zone (Mining Exclusion),15.1,,,,Lauren,Damo,,,,17,18,,5,,,,,,,LANDS FACING UP THEN FALLS GOOD AT 15MINS
2014-12_Geographe.Bay_stereoBRUVs,327,2,,,2014-12-14,14:10:00,,Geographe Bay,Multiple Use Zone,11.8,Logan,6.8.20,,Damon,Laura,Logan,,,15,16,,3,,,,,,,
2014-12_Geographe.Bay_stereoBRUVs,331,2,,,2014-12-15,13:46:00,,Geographe Bay,Multiple Use Zone,14.3,Logan,22.07.20,,Lizzy,Laura,Logan,,,5,6,,3,,,,,,,
2014-12_Geographe.Bay_stereoBRUVs,330,,,,2014-12-15,06:44:00,,Geographe Bay,,17.7,,,,Damon,N/A,,,N,13,14,,4,,,,,,,Both files are rightcam
2014-12_Geographe.Bay_stereoBRUVs,335,1,,,2014-12-12,08:09:00,,Geographe Bay,Habitat Protection Zone,21.6,Hayley ,6.8.20,,Lauren,Lizzy,Hayley ,,,23,24,,2,,,,,,,
2014-12_Geographe.Bay_stereoBRUVs,352,3,,,2014-12-16,08:45:00,,Geographe Bay,Special Purpose Zone (Mining Exclusion),15.2,,,,Lizzy,Damo,,,,23,24,,5,,,,,,,
2014-12_Geographe.Bay_stereoBRUVs,346,2,,,2014-12-15,13:08:00,,Geographe Bay,,14,,,,Lizzy,Laura,,,,11,12,,3,,,,,,,
2014-12_Geographe.Bay_stereoBRUVs,375,2,,,2014-12-12,06:14:00,,Geographe Bay,Habitat Protection Zone,26.9,Logan,18.08.20,,Laura,Lauren,Logan,,,19,20,,4,,,,,,,REAR FAIL
2014-12_Geographe.Bay_stereoBRUVs,362,3,,,2014-12-17,10:23:00,,Geographe Bay,,9.4,,,,Laura,Damo,,,,19,20,,5,,,,,,,
2014-12_Geographe.Bay_stereoBRUVs,368,3,,,2014-12-16,15:59:00,,Geographe Bay,,3.7,,,,Laura,Damo,,,,25,26,,5,,,,,,,
2014-12_Geographe.Bay_stereoBRUVs,378,2,,,2014-12-12,13:08:00,,Geographe Bay,National Park Zone,13.3,Logan,26.07.20,,Lauren,Damo,Logan,,,11,12,,3 (L) R (4),,,,,,,
2014-12_Geographe.Bay_stereoBRUVs,384,1,,,2014-12-16,06:54:00,,Geographe Bay,Special Purpose Zone (Mining Exclusion),13.5,Hayley,6.8.20,,Lauren,Ronen,Hayley,,,17,18,,2,,,,,,,
2014-12_Geographe.Bay_stereoBRUVs,391,2,,,2014-12-13,08:23:00,,Geographe Bay,Multiple Use Zone,17,Logan,27.07.20,,Lizzy,Laura,Logan,,,21,22,,3,,,,,,,Rear cam failed
2014-12_Geographe.Bay_stereoBRUVs,394,2,,,2014-12-16,13:18:00,,Geographe Bay,Multiple Use Zone,19,Logan,6.8.20,,Lizzy,Lauren,Logan,,,9,10,,4,,,,,,,
2014-12_Geographe.Bay_stereoBRUVs,400,2,,,2014-12-14,08:58:00,,Geographe Bay,Special Purpose Zone (Mining Exclusion),9.8,Logan,23.07.20,,Damon,Laura,Logan,,,13,14,,3,,,,,,,
2014-12_Geographe.Bay_stereoBRUVs,395,3,,,2014-12-17,10:08:00,,Geographe Bay,,9.2,,,,Laura,Damo,,,,9,10,,5,,,,,,,
2014-12_Geographe.Bay_stereoBRUVs,399,3,,,2014-12-17,10:17:00,,Geographe Bay,,10.8,,,,Laura,Damo,,,,15,16,,5,,,,,,,
2014-12_Geographe.Bay_stereoBRUVs,407,2,,,2014-12-13,08:13:00,,Geographe Bay,Multiple Use Zone,16.2,Logan,7.8.20,,Lauren,Laura,Logan,,,19,20,,3,,,,,,,
2014-12_Geographe.Bay_stereoBRUVs,432,,,,2014-12-14,13:19:00,,Geographe Bay,Special Purpose Zone (Mining Exclusion),10.7,,,,Lauren,Damo,,,,23,24,,BH,,,,,,,
2014-12_Geographe.Bay_stereoBRUVs,416,3,,,2014-12-17,10:34:00,,Geographe Bay,,12.3,,,,Laura,Damo,,,,5,6,,5,,,,,,,
2014-12_Geographe.Bay_stereoBRUVs,426,3,,,2014-12-17,08:05:00,,Geographe Bay,,18,,,,Lauren,Damo,,,,9,10,,5,,,,,,,
2014-12_Geographe.Bay_stereoBRUVs,428,1,,,2014-12-16,06:31:00,,Geographe Bay,,7.6,,,,Lauren,Lizzy,,,,15,16,,2,,,,,,,
2014-12_Geographe.Bay_stereoBRUVs,442,1,,,2014-12-12,13:28:00,,Geographe Bay,Multiple Use Zone,14.3,,,,Lizzy,Lauren,,,,19,20,,2,,,,,,,"UPSIDE DOWN, GOOD"
2014-12_Geographe.Bay_stereoBRUVs,439,3,,,2014-12-17,10:29:00,,Geographe Bay,,8.4,,,,Laura,Damo,,,,21,22,,5,,,,,,,
2014-12_Geographe.Bay_stereoBRUVs,443,2,,,2014-12-12,06:34:00,,Geographe Bay,Habitat Protection Zone,27,Logan,27.07.20,,Laura,Lauren,Logan,,,11,12,,4,,,,,,,
2014-12_Geographe.Bay_stereoBRUVs,448,3,,,2014-12-14,13:05:00,,Geographe Bay,Special Purpose Zone (Mining Exclusion),10.6,,,,Lizzy,Damo,,,,25,26,,5,,,,,,,
2014-12_Geographe.Bay_stereoBRUVs,455,2,,,2014-12-15,08:42:00,,Geographe Bay,Multiple Use Zone,24.9,Logan,27.07.20,,Lizzy,Lauren,Logan,,,13,14,,4,,,,,,,
2014-12_Geographe.Bay_stereoBRUVs,451,3,,,2014-12-14,11:32:00,,Geographe Bay,,7.8,,,,Lauren,Damo,,,,23,24,,5,,,,,,,
2014-12_Geographe.Bay_stereoBRUVs,490,2,,,2014-12-17,06:20:00,,Geographe Bay,Multiple Use Zone,13.4,Logan,6.8.20,,Lizzy,Lauren,Logan,,,19,20,,4,,,,,,,
2014-12_Geographe.Bay_stereoBRUVs,458,,,,2014-12-16,10:58:00,,Geographe Bay,,6.2,,,,Lizzy,Damo,,,,19,20,,BH,,,,,,,Tiger
2014-12_Geographe.Bay_stereoBRUVs,463,1,,,2014-12-12,08:03:00,,Geographe Bay,,24.3,,,,Lizzy,Tamy,,,,25,26,,2,,,,,,,
2014-12_Geographe.Bay_stereoBRUVs,474,1,,,2014-12-16,06:23:00,,Geographe Bay,,6.8,,,,Laura,Lizzy,,,,21,22,,2,,,,,,,Rear fail
2014-12_Geographe.Bay_stereoBRUVs,480,2 - only left,,,2014-12-14,09:06:00,,Geographe Bay,,7.4,,,,Laura,N/A,,,,9,10,,3L,,,,,,,
2014-12_Geographe.Bay_stereoBRUVs,503,3,,,2014-12-17,07:48:00,,Geographe Bay,Multiple Use Zone,16.3,,,,Lizzy,Damo,,,,5,6,,5,,,,,,,
2014-12_Geographe.Bay_stereoBRUVs,492,3,,,2014-12-16,08:40:00,,Geographe Bay,,14.7,,,,Laura,Damo,,,,11,12,,5,,,,,,,"UPSIDE DOWN, GOOD"
2014-12_Geographe.Bay_stereoBRUVs,496,,,,2014-12-16,10:42:00,,Geographe Bay,,15.3,,,,Lauren,Lizzy,,,,5,6,,BH,,,,,,,
2014-12_Geographe.Bay_stereoBRUVs,499,1,,,2014-12-16,06:36:00,,Geographe Bay,,9.9,,,,Lauren,Tamy,,,,19,20,,2,,,,,,,
2014-12_Geographe.Bay_stereoBRUVs,506,2,,,2014-12-16,11:23:00,,Geographe Bay,Multiple Use Zone,14.1,Logan,10.8.20,,Lizzy,Lauren,Logan,,,23,24,,4,,,,,,,
2014-12_Geographe.Bay_stereoBRUVs,523,2,,,2014-12-15,08:35:00,,Geographe Bay,Multiple Use Zone,26,Logan,29.07.20,,Laura,Lauren,Logan,,,17,18,,4,,,,,,,
2014-12_Geographe.Bay_stereoBRUVs,512,2,,,2014-12-16,11:03:00,,Geographe Bay,,10.6,,,,Lizzy,Laura,,,,9,10,,3R 4L,,,,,,,
2014-12_Geographe.Bay_stereoBRUVs,527,2,,,2014-12-12,06:16:00,,Geographe Bay,Habitat Protection Zone,26.8,Logan,6.8.20,,laura,Lauren,Logan,,,9,10,,4,,,,,,,
2014-12_Geographe.Bay_stereoBRUVs,543,,,,2014-12-15,13:13:00,,Geographe Bay,Multiple Use Zone,16.7,,,,Lauren,Laura,,,,23,24,,BH,,,,,,,
2014-12_Geographe.Bay_stereoBRUVs,528,2,,,2014-12-16,08:34:00,,Geographe Bay,,14,,,,Lauren,Lauren,,,,25,26,,,,,,,,,
2014-12_Geographe.Bay_stereoBRUVs,538,2,,,2014-12-17,05:53:00,,Geographe Bay,,11.6,,,,Laura,Lauren,,,,17,18,,4,,,,,,,
2014-12_Geographe.Bay_stereoBRUVs,544,3,,,2014-12-14,13:36:00,,Geographe Bay,Special Purpose Zone (Mining Exclusion),12.3,,,,Lauren,Damo,,,,13,14,,5,,,,,,,LANDED SIDE STILL GOOD
2014-12_Geographe.Bay_stereoBRUVs,554,3,,,2014-12-17,06:13:00,,Geographe Bay,National Park Zone,12.3,,,,Laura,Damo,,,,15,16,,5,,,,,,,
2014-12_Geographe.Bay_stereoBRUVs,551,,,,2014-12-17,05:58:00,,Geographe Bay,,11.7,,,,Lizzy,N/A,,,N,13,14,,4,,,,,,,RIGHT CAM FAIL
2014-12_Geographe.Bay_stereoBRUVs,567,3,,,2014-12-17,08:23:00,,Geographe Bay,Multiple Use Zone,17.4,,,,Lizzy,Damo,,,,11,12,,5,,,,,,,Left can short analyse right
2014-12_Geographe.Bay_stereoBRUVs,560,1,,,2014-12-16,06:49:00,,Geographe Bay,,14.6,,,,Lauren,Lizzy,,,,13,14,,2,,,,,,,
2014-12_Geographe.Bay_stereoBRUVs,570,,,,2014-12-15,08:31:00,,Geographe Bay,Multiple Use Zone,24.6,,,,Lauren,Lizzy,,,,23,24,,BH,,,,,,,
2014-12_Geographe.Bay_stereoBRUVs,579,3,,,2014-12-16,13:10:00,,Geographe Bay,Multiple Use Zone,22,,,,Laura,Damo,,,,17,18,,5,,,,,,,
2014-12_Geographe.Bay_stereoBRUVs,572,,,,2014-12-14,10:54:00,,Geographe Bay,,8.1,,,,Lauren,Lizzy,,,,21,22,,BH,,,,,,,
2014-12_Geographe.Bay_stereoBRUVs,576,,,,2014-12-15,07:04:00,,Geographe Bay,,9.1,,,,N/A,N/A,,N,N,25,26,,BH,,,,,,,facing up
2014-12_Geographe.Bay_stereoBRUVs,583,2,,,2014-12-14,13:55:00,,Geographe Bay,Special Purpose Zone (Mining Exclusion),12,Logan,23.07.20,,Damon,Laura,Logan,,,5,6,,3,,,,,,,BIG RAY NICE GROUND - R cam failed after 15min
2014-12_Geographe.Bay_stereoBRUVs,599,2,,,2014-12-13,06:22:00,,Geographe Bay,Multiple Use Zone,13.9,Logan,7.8.20,,Laura,Lauren,Logan,,,11,12,,4,,,,,,,
2014-12_Geographe.Bay_stereoBRUVs,586,,,,2014-12-16,13:24:00,,Geographe Bay,National Park Zone,15.8,,,,Lizzy,N/A,,,No,19,20,Right = Fail,4L,,,,,,,
2014-12_Geographe.Bay_stereoBRUVs,587,3,,,2014-12-15,11:03:00,,Geographe Bay,,16.6,,,,Lizzy,Damo,,,,11,12,,5,,,,,,,
2014-12_Geographe.Bay_stereoBRUVs,592,3 (right on 2),,,2014-12-16,11:15:00,,Geographe Bay,,12.3,,,,Laura,Laura,,,,17,18,,3R 5L,,,,,,,
2014-12_Geographe.Bay_stereoBRUVs,608,3,,,2014-12-16,09:01:00,,Geographe Bay,Special Purpose Zone (Mining Exclusion),16.7,,,,Lauren,Damo,,,,9,10,,5,,,,,,,
2014-12_Geographe.Bay_stereoBRUVs,602,,,,2014-12-15,12:57:00,,Geographe Bay,,11.2,,,,Lauren,Damo,,,,25,26,,BH,,,,,,,
2014-12_Geographe.Bay_stereoBRUVs,624,1,,,2014-12-16,07:03:00,,Geographe Bay,Special Purpose Zone (Mining Exclusion),17.5,Hayley ,6.8.20,,Lizzy,Lauren,Hayley ,,,11,12,,2,,,,,,,
2014-12_Geographe.Bay_stereoBRUVs,611,3,,,2014-12-16,15:45:00,,Geographe Bay,,8.2,,,,Laura,Damo,,,,23,24,,5,,,,,,,
2014-12_Geographe.Bay_stereoBRUVs,615,2,,,2014-12-17,09:56:00,,Geographe Bay,,11.8,,,,Lauren,Lauren,,,,17,18,,4,,,,,,,
2014-12_Geographe.Bay_stereoBRUVs,618,,,,2014-12-17,05:40:00,,Geographe Bay,Multiple Use Zone,14.5,,,,Lizzy,N/A,,,No,25,26,R CAM fail,5,,,,,,,
2014-12_Geographe.Bay_stereoBRUVs,623,2,,,2014-12-15,10:24:00,,Geographe Bay,,7.8,,,,Lizzy,Lauren,,,,21,22,,4,,,,,,,
2014-12_Geographe.Bay_stereoBRUVs,631,,,,2014-12-15,13:33:00,,Geographe Bay,Multiple Use Zone,21,,,,Lauren,Lizzy,,,,19,20,,BH,,,,,,,
2014-12_Geographe.Bay_stereoBRUVs,633,3,,,2014-12-16,09:18:00,,Geographe Bay,Special Purpose Zone (Mining Exclusion),16.2,,,,Lauren,Damo,,,,15,16,,5,,,,,,,
2014-12_Geographe.Bay_stereoBRUVs,634,3,,,2014-12-16,15:30:00,,Geographe Bay,Multiple Use Zone,13,,,,Laura,Damo,,,,15,16,,5,,,,,,,
2014-12_Geographe.Bay_stereoBRUVs,635,,,,2014-12-15,08:52:00,,Geographe Bay,Multiple Use Zone,21.2,,,,Lauren,Damo,,,,19,20,,BH,,,,,,,
2014-12_Geographe.Bay_stereoBRUVs,647,2,,,2014-12-13,08:17:00,,Geographe Bay,Multiple Use Zone,15.3,Logan,30.07.20,,Lauren,Laura,Logan,,,5,6,,3,,,,,,,
2014-12_Geographe.Bay_stereoBRUVs,640,2,,,2014-12-16,11:10:00,,Geographe Bay,,11.5,,,,Lizard,Lauren,,,,13,14,,4,,,,,,,
2014-12_Geographe.Bay_stereoBRUVs,655,,,,2014-12-15,13:20:00,,Geographe Bay,Multiple Use Zone,20.5,,,,Lauren,Lizzy,,,,17,18,,BH,,,,,,,
2014-12_Geographe.Bay_stereoBRUVs,650,,,,2014-12-16,13:14:00,,Geographe Bay,Multiple Use Zone,21.1,,,,Lizzy,N/A,,,No,13,14,,4,,,,,,,RIGHT FAIL
2014-12_Geographe.Bay_stereoBRUVs,651,,,,2014-12-17,09:41:00,,Geographe Bay,,13,,,,N/A,N/A,,N,N,25,26,,,,,,,,,
2014-12_Geographe.Bay_stereoBRUVs,666,3,,,2014-12-17,06:25:00,,Geographe Bay,National Park Zone,15.6,,,,Lizzy,Damo,,,,21,22,,5,,,,,,,
2014-12_Geographe.Bay_stereoBRUVs,656,2 (left only),,,2014-12-14,09:28:00,,Geographe Bay,Special Purpose Zone (Mining Exclusion),9,,,,Lauren,N/A,,,No,15,16,,3,,,,,,,R FAIL ON ENTRY TO HOUSING
2014-12_Geographe.Bay_stereoBRUVs,679,,,,2014-12-14,13:48:00,,Geographe Bay,Special Purpose Zone (Mining Exclusion),12,,,,Lauren,Damo,,,,19,20,,BH,,,,,,,R=ONLY 18MIN
2014-12_Geographe.Bay_stereoBRUVs,672,2 (right only),,,2014-12-14,11:45:00,,Geographe Bay,Special Purpose Zone (Mining Exclusion),8.4,,,,Lauren,N/A,,,No,25,26,,3,,,,,,,L CUTS OUT @ 7MIN
2014-12_Geographe.Bay_stereoBRUVs,682,3,,,2014-12-17,07:57:00,,Geographe Bay,Multiple Use Zone,15.2,,,,Damon,Lizzy,,,,19,20,,5,,,,,,,
2014-12_Geographe.Bay_stereoBRUVs,684,,,,2014-12-15,09:00:00,,Geographe Bay,Multiple Use Zone,20.6,,,,Lizzy,Damo,,,,21,22,,BH,,,,,,,
2014-12_Geographe.Bay_stereoBRUVs,694,2,,,2014-12-16,13:32:00,,Geographe Bay,Multiple Use Zone,21.3,Logan,7.8.20,,Lizzy,Lauren,Logan,,,15,16,,4,,,,,,,
2014-12_Geographe.Bay_stereoBRUVs,688,2,,,2014-12-17,09:52:00,,Geographe Bay,,12.8,,,,Laura,Lauren,,,,23,24,,4,,,,,,,
2014-12_Geographe.Bay_stereoBRUVs,698,1,,,2014-12-12,13:25:00,,Geographe Bay,Multiple Use Zone,14,Hayley ,6.8.20,,Lizzy,Lauren,Hayley ,,,9,10,,2L 4R,,,,,,,
2014-12_Geographe.Bay_stereoBRUVs,695,,,,2014-12-17,08:15:00,,Geographe Bay,,18.4,,,,N/A,N/A,,,N,17,18,,,,,,,,,FACING UP
2014-12_Geographe.Bay_stereoBRUVs,719,2,,,2014-12-12,05:59:00,,Geographe Bay,Habitat Protection Zone,26.3,Logan,10.8.20,,Laura,Lauren,Logan,,,13,14,,4,,,,,,,
2014-12_Geographe.Bay_stereoBRUVs,704,1,,,2014-12-16,06:15:00,,Geographe Bay,,7.45,,,,Lizzy,Lauren,,,,5,6,,2,,,,,,,
2014-12_Geographe.Bay_stereoBRUVs,711,2,,,2014-12-14,09:24:00,,Geographe Bay,,8.4,,,,Laura,Damo,,,,21,22,,3,,,,,,,
2014-12_Geographe.Bay_stereoBRUVs,714,,,,2014-12-15,08:26:00,,Geographe Bay,,21.1,,,,Lauren,Lizzy,,,,11,12,,BH,,,,,,,
2014-12_Geographe.Bay_stereoBRUVs,746,3,,,2014-12-17,05:45:00,,Geographe Bay,Multiple Use Zone,13.2,,,,Damon,Lizzy,,,,11,12,,5,,,,,,,
2014-12_Geographe.Bay_stereoBRUVs,720,2,,,2014-12-14,09:11:00,,Geographe Bay,,8.2,,,,Laura,Laura,,,,19,20,,3,,,,,,,UPSIDE DOWN STILL GOOD
2014-12_Geographe.Bay_stereoBRUVs,735,3,,,2014-12-15,06:27:00,,Geographe Bay,,26.7,,,,Lauren,Damo,,,,21,22,,5,,,,,,,
