 ,Sample,UWA.con.number,Latitude,Longitude,Date,Time,Site,Location,Status,Depth,Maxn.analyst,Maxn.complete.yyyymmdd,Maxn.checker,Curtin.Observer,Curtin.length.analyst,Observer,Successful.count,Successful.length,Left.cam,Right.cam,Video.notes,Con.hdd.number,Raw.hdd.number,Habitat.image.saved,Vis.in.metres,Habitat.classification ,Length.analyst,Length.complete.date.yyyymmdd,Notes
2014-12_Geographe.Bay_stereoBRUVs,35,3,,,2014-12-13,11:14:00,,Geographe Bay,Special Purpose Zone (Mining Exclusion),27.9,,,,Lizzy,Lizzy,,,,25,26,,5,,,,,,,
2014-12_Geographe.Bay_stereoBRUVs,36,1,,,2014-12-10,11:17:00,,Geographe Bay,Special Purpose Zone (Mining Exclusion),38.2,Hayley,13.7.20,,Laura,Lizzy,Hayley,,,13,14,Y,2,,,,,,,
2014-12_Geographe.Bay_stereoBRUVs,37,1,,,2014-12-11,09:11:00,,Geographe Bay,Special Purpose Zone (Mining Exclusion),30.3,Hayley,14.07.20,,Lizzy,Laura,Hayley,,,19,20,Y,1,,,,,,,
2014-12_Geographe.Bay_stereoBRUVs,38,1,,,2014-12-09,12:45:00,,Geographe Bay,Multiple Use Zone,34.5,Hayley ,16.07.20,,Lizzy,Ronen,Hayley ,,,11,12,Y,1,,,,,,,
2014-12_Geographe.Bay_stereoBRUVs,39,1,,,2014-12-11,13:20:00,,Geographe Bay,Special Purpose Zone (Mining Exclusion),19.8,Hayley,16.07.20,,Lizzy,Laura,Hayley,,,15,16,Y,1,,,,,,,
2014-12_Geographe.Bay_stereoBRUVs,40,1,,,2014-12-09,09:57:00,,Geographe Bay,Special Purpose Zone (Mining Exclusion),33.7,Hayley,16.07.20,,Lauren,Laura,Hayley,,,19,20,Y,1,,,,,,,
2014-12_Geographe.Bay_stereoBRUVs,41,1,,,2014-12-10,07:35:00,,Geographe Bay,Special Purpose Zone (Mining Exclusion),42.5,Hayley,16.07.20,,Laura,Damo,Hayley,,,17,18,Y,1,,,,,,,
2014-12_Geographe.Bay_stereoBRUVs,42,2,,,2014-12-12,13:13:00,,Geographe Bay,National Park Zone,13,Logan,13.07.20,Brooke Gibbons,laura,Lauren,Logan,,,23,24,,4,,,,,,,
2014-12_Geographe.Bay_stereoBRUVs,43,,,,2014-12-12,06:44:00,,Geographe Bay,,26.3,,,,N/A,N/A,,N,N,25,26,,,,,,,,,FACING UP
2014-12_Geographe.Bay_stereoBRUVs,44,1,,,2014-12-11,06:54:00,,Geographe Bay,Special Purpose Zone (Mining Exclusion),34.4,Hayley,17.07.20,,Lauren,Lauren,Hayley,,,21,22,Y,2,,,,,,,
