"","x","sample","uwa.con.number","date","time","site","location","status","depth","maxn.analyst","maxn.complete.yyyymmdd","maxn.checker","curtin.observer","curtin.length.analyst","observer","successful.count","successful.length","left.cam","right.cam","video.notes","con.hdd.number","raw.hdd.number","habitat.image.saved","vis.in.metres","habitat.classification","length.analyst","length.complete.date.yyyymmdd","notes","latitude","longitude"
"27","2014-12_Geographe.Bay_stereoBRUVs","27","1","2014-12-09","07:00:00",NA,"Geographe Bay","Multiple Use Zone","28.2","Hayley","3.7.20","Brooke Gibbons","Lauren","Ronen","Hayley","Yes","",23,24,"Y","1",NA,NA,NA,NA,NA,NA,"1B=BLUE HOUSING",-33.5463667,115.1883833
"28","2014-12_Geographe.Bay_stereoBRUVs","28","1","2014-12-11","07:07:00",NA,"Geographe Bay","Special Purpose Zone (Mining Exclusion)","34","Hayley","3.7.20","Brooke Gibbons","Lizzy","Lizzy","Hayley","Yes","",15,16,"Y","2",NA,NA,NA,NA,NA,NA,"",-33.42715,115.2872833
"29","2014-12_Geographe.Bay_stereoBRUVs","29","1","2014-12-09","10:30:00",NA,"Geographe Bay","Multiple Use Zone","34.3","Hayley","3.7.20","Logan Penman","Lauren","Lizzy","Hayley","Yes","",23,24,"Y","2",NA,NA,NA,NA,NA,NA,"",-33.4869667,115.1764
"30","2014-12_Geographe.Bay_stereoBRUVs","30","1","2014-12-11","06:37:00",NA,"Geographe Bay","Special Purpose Zone (Mining Exclusion)","31.8","Hayley","13.7.20","Logan Penman","Lizzy","Lauren","Hayley","Yes","",9,10,"Y","2",NA,NA,NA,NA,NA,NA,"",-33.42405,115.33405
"31","2014-12_Geographe.Bay_stereoBRUVs","31","2","2014-12-12","05:55:00",NA,"Geographe Bay","Multiple Use Zone","26.3","Logan","9.7.20","Brooke Gibbons","laura","Lauren","Logan","Yes","",15,16,"","4",NA,NA,NA,NA,NA,NA,"",-33.5986333,115.2369167
"32","2014-12_Geographe.Bay_stereoBRUVs","32","1","2014-12-13","07:53:00",NA,"Geographe Bay","Special Purpose Zone (Mining Exclusion)","14.1","Hayley","13.7.20","Logan Penman","Laura","Lizzy","Hayley","Yes","",11,12,"","3",NA,NA,NA,NA,NA,NA,"",-33.4807833,115.46205
"33","2014-12_Geographe.Bay_stereoBRUVs","33","","2014-12-11","08:54:00",NA,"Geographe Bay","Special Purpose Zone (Mining Exclusion)","34.1","","","","Lauren","N/A","","","No",13,14,"R=FAIL","1L",NA,NA,NA,NA,NA,NA,"",-33.3527667,115.3204833
"34","2014-12_Geographe.Bay_stereoBRUVs","34","","2014-12-10","07:05:00",NA,"Geographe Bay","Special Purpose Zone (Mining Exclusion)","43","","","","Lizzy","N/A","","","No",5,6,"Right=FAIL","2L",NA,NA,NA,NA,NA,NA,"",-33.3845167,115.0739
"35","2014-12_Geographe.Bay_stereoBRUVs","35","3","2014-12-13","11:14:00",NA,"Geographe Bay","Special Purpose Zone (Mining Exclusion)","27.9","Logan","19.08.20","Brooke Gibbons","Lizzy","Lizzy","Logan","Yes","",25,26,"","5",NA,NA,NA,NA,NA,NA,"",-33.4055,115.4157167
"36","2014-12_Geographe.Bay_stereoBRUVs","36","1","2014-12-10","11:17:00",NA,"Geographe Bay","Special Purpose Zone (Mining Exclusion)","38.2","Hayley","13.7.20","Logan Penman","Laura","Lizzy","Hayley","Yes","",13,14,"Y","2",NA,NA,NA,NA,NA,NA,"",-33.4269,115.20765
"37","2014-12_Geographe.Bay_stereoBRUVs","37","1","2014-12-11","09:11:00",NA,"Geographe Bay","Special Purpose Zone (Mining Exclusion)","30.3","Hayley","14.07.20","Logan Penman","Lizzy","Laura","Hayley","Yes","",19,20,"Y","1",NA,NA,NA,NA,NA,NA,"",-33.3585,115.3721
"38","2014-12_Geographe.Bay_stereoBRUVs","38","1","2014-12-09","12:45:00",NA,"Geographe Bay","Multiple Use Zone","34.5","Hayley ","16.07.20","Logan Penman","Lizzy","Ronen","Hayley ","Yes","",11,12,"Y","1",NA,NA,NA,NA,NA,NA,"",-33.5036833,115.1274333
"39","2014-12_Geographe.Bay_stereoBRUVs","39","1","2014-12-11","13:20:00",NA,"Geographe Bay","Special Purpose Zone (Mining Exclusion)","19.8","Hayley","16.07.20","Logan Penman","Lizzy","Laura","Hayley","Yes","",15,16,"Y","1",NA,NA,NA,NA,NA,NA,"",-33.465,115.43285
"40","2014-12_Geographe.Bay_stereoBRUVs","40","1","2014-12-09","09:57:00",NA,"Geographe Bay","Special Purpose Zone (Mining Exclusion)","33.7","Hayley","16.07.20","Logan Penman","Lauren","Laura","Hayley","Yes","",19,20,"Y","1",NA,NA,NA,NA,NA,NA,"",-33.4719667,115.2287167
"41","2014-12_Geographe.Bay_stereoBRUVs","41","1","2014-12-10","07:35:00",NA,"Geographe Bay","Special Purpose Zone (Mining Exclusion)","42.5","Hayley","16.07.20","Logan Penman","Laura","Damo","Hayley","Yes","",17,18,"Y","1",NA,NA,NA,NA,NA,NA,"",-33.36785,115.0985833
"42","2014-12_Geographe.Bay_stereoBRUVs","42","2","2014-12-12","13:13:00",NA,"Geographe Bay","National Park Zone","13","Logan","13.07.20","Brooke Gibbons","laura","Lauren","Logan","Yes","",23,24,"","4",NA,NA,NA,NA,NA,NA,"",-33.5425167,115.3862333
"43","2014-12_Geographe.Bay_stereoBRUVs","44","1","2014-12-11","06:54:00",NA,"Geographe Bay","Special Purpose Zone (Mining Exclusion)","34.4","Hayley","17.07.20","Logan Penman","Lauren","Lauren","Hayley","Yes","",21,22,"Y","2",NA,NA,NA,NA,NA,NA,"",-33.3984333,115.30965
"44","2014-12_Geographe.Bay_stereoBRUVs","45","1","2014-12-09","13:28:00",NA,"Geographe Bay","Special Purpose Zone (Mining Exclusion)","41.1","Hayley","17.07.20","Logan Penman","Lauren","Laura","Hayley","Yes","",5,6,"Y","1",NA,NA,NA,NA,NA,NA,"",-33.4445667,115.13165
"45","2014-12_Geographe.Bay_stereoBRUVs","46","","2014-12-14","06:35:00",NA,"Geographe Bay","Special Purpose Zone (Mining Exclusion)","18",""," ","","Lauren","Laura","","","",19,20,"","BH",NA,NA,NA,NA,NA,NA,"",-33.4028,115.3493
"46","2014-12_Geographe.Bay_stereoBRUVs","47","1","2014-12-12","10:29:00",NA,"Geographe Bay","Multiple Use Zone","24.3","Hayley ","17.07.20","Logan Penman","Lauren","Laura","Hayley ","Yes","",15,16,"","3",NA,NA,NA,NA,NA,NA,"",-33.5485,115.2877667
"47","2014-12_Geographe.Bay_stereoBRUVs","48","1","2014-12-11","12:31:00",NA,"Geographe Bay","Special Purpose Zone (Mining Exclusion)","17.2","Hayley","17.07.20","Logan Penman","Lizzy","Lauren","Hayley","Yes","",23,24,"Y","2",NA,NA,NA,NA,NA,NA,"Rear fail",-33.40275,115.5133833
"48","2014-12_Geographe.Bay_stereoBRUVs","49","1","2014-12-10","13:51:00",NA,"Geographe Bay","Special Purpose Zone (Mining Exclusion)","37.7","Hayley","17.07.20","Logan Penman","Laura","Lizzy","Hayley","Yes","",9,10,"Y","2",NA,NA,NA,NA,NA,NA,"",-33.3809167,115.2720667
"49","2014-12_Geographe.Bay_stereoBRUVs","50","","2014-12-10","10:29:00",NA,"Geographe Bay","Special Purpose Zone (Mining Exclusion)","40.5","","","","Lizzy","N/A","","","No",17,18,"R=FAIL WHEN HIT SEABED","2L",NA,NA,NA,NA,NA,NA,"",-33.4108,115.1742333
"50","2014-12_Geographe.Bay_stereoBRUVs","51","1","2014-12-13","10:52:00",NA,"Geographe Bay","Special Purpose Zone (Mining Exclusion)","25.4","","","","Damon","N/A","","","No",17,18,"R=FAIL","",NA,NA,NA,NA,NA,NA,"Snapper come in late",-33.4315667,115.41365
"51","2014-12_Geographe.Bay_stereoBRUVs","52","","2014-12-09","06:14:00",NA,"Geographe Bay","Multiple Use Zone","29.7","","","","Lizzy","N/A","","","No",19,20,"L YES R FAIL","1 Left only",NA,NA,NA,NA,NA,NA,"",-33.49265,115.2982
"52","2014-12_Geographe.Bay_stereoBRUVs","53","1","2014-12-11","09:04:00",NA,"Geographe Bay","Special Purpose Zone (Mining Exclusion)","31.4","Hayley","19.07.20","Logan Penman","Lizzy","Ronen","Hayley","Yes","",21,22,"Y","1",NA,NA,NA,NA,NA,NA,"",-33.3582167,115.3565167
"53","2014-12_Geographe.Bay_stereoBRUVs","54","1","2014-12-09","10:47:00",NA,"Geographe Bay","Multiple Use Zone","33.1","Hayley ","19.07.20","Logan Penman","Lizzy","Laura","Hayley ","Yes","",25,26,"Y","1",NA,NA,NA,NA,NA,NA,"",-33.51305,115.1532
"54","2014-12_Geographe.Bay_stereoBRUVs","55","1","2014-12-12","09:05:00",NA,"Geographe Bay","Multiple Use Zone","22.2","Hayley","19.07.20","Logan Penman","Lizzy","Ronen","Hayley","Yes","",15,16,"","2",NA,NA,NA,NA,NA,NA,"REAR FAIL",-33.5708667,115.2801167
"55","2014-12_Geographe.Bay_stereoBRUVs","56","","2014-12-09","09:49:00",NA,"Geographe Bay","Multiple Use Zone","32","","","","Lizzy","N/A","","","No",5,6,"Right = Fail","1 Left only",NA,NA,NA,NA,NA,NA,"",-33.4953,115.2224167
"56","2014-12_Geographe.Bay_stereoBRUVs","58","1","2014-12-12","13:02:00",NA,"Geographe Bay","National Park Zone","13.5","Hayley","19.07.20","Logan Penman","Lauren","Laura","Hayley","Yes","",25,26,"","3",NA,NA,NA,NA,NA,NA,"",-33.56965,115.3795833
"57","2014-12_Geographe.Bay_stereoBRUVs","60","1","2014-12-11","09:55:00",NA,"Geographe Bay","Special Purpose Zone (Mining Exclusion)","21.5","Hayley ","20.07.20","Logan Penman","Lizzy","Laura","Hayley ","Yes","",11,12,"Y","1",NA,NA,NA,NA,NA,NA,"",-33.3626167,115.5049333
"58","2014-12_Geographe.Bay_stereoBRUVs","61","1","2014-12-09","12:50:00",NA,"Geographe Bay","Multiple Use Zone","34.8","Hayley","20.07.20","Logan Penman","Lauren","Ronen","Hayley","Yes","",23,24,"Y","1",NA,NA,NA,NA,NA,NA,"",-33.4992833,115.1345167
"59","2014-12_Geographe.Bay_stereoBRUVs","62","1","2014-12-11","06:24:00",NA,"Geographe Bay","Special Purpose Zone (Mining Exclusion)","29.3","Hayley","21.07.20","Logan Penman","Lizzy","Tamy","Hayley","Yes","",23,24,"Y","2",NA,NA,NA,NA,NA,NA,"",-33.4505,115.3306833
"60","2014-12_Geographe.Bay_stereoBRUVs","63","1","2014-12-09","06:29:00",NA,"Geographe Bay","Multiple Use Zone","30","Hayley","21.07.20","Logan Penman","Lauren","Lauren","Hayley","Yes","",21,22,"Y","2",NA,NA,NA,NA,NA,NA,"BACK REC TO CAM|BLUE HOUSING",-33.50385,115.2562
"61","2014-12_Geographe.Bay_stereoBRUVs","64","1","2014-12-11","12:54:00",NA,"Geographe Bay","Special Purpose Zone (Mining Exclusion)","14.2","Hayley","21.07.20","Logan Penman","Lauren","Laura","Hayley","Yes","",5,6,"Y","1",NA,NA,NA,NA,NA,NA,"",-33.4364167,115.50945
"62","2014-12_Geographe.Bay_stereoBRUVs","65","1","2014-12-10","13:15:00",NA,"Geographe Bay","Special Purpose Zone (Mining Exclusion)","39.4","Hayley","21.07.20","Logan Penman","Lauren","Ronen","Hayley","Yes","",15,16,"Y","2",NA,NA,NA,NA,NA,NA,"",-33.3597167,115.2047667
"63","2014-12_Geographe.Bay_stereoBRUVs","67","1","2014-12-13","10:10:00",NA,"Geographe Bay","Special Purpose Zone (Mining Exclusion)","21.4","Hayley","22.07.20 ","Logan Penman","Lauren","Damo","Hayley","Yes","",13,14,"","5",NA,NA,NA,NA,NA,NA,"",-33.4783167,115.0859333
"64","2014-12_Geographe.Bay_stereoBRUVs","68","","41983","0.588194444",NA,"Geographe Bay","Special Purpose Zone (Mining Exclusion)","38.9","","","","Lauren","N/A","","","No",23,24,"R=CUT OUT at 12min","2",NA,NA,NA,NA,NA,NA,"",-33.3881667,115.2426
"65","2014-12_Geographe.Bay_stereoBRUVs","69","1","2014-12-11","09:23:00",NA,"Geographe Bay","Special Purpose Zone (Mining Exclusion)","28.7","Hayley","23.07.20","Logan Penman","Lizzy","Lauren","Hayley","Yes","",9,10,"Y","1",NA,NA,NA,NA,NA,NA,"",-33.3534333,115.4040333
"66","2014-12_Geographe.Bay_stereoBRUVs","70","1","2014-12-10","10:46:00",NA,"Geographe Bay","Special Purpose Zone (Mining Exclusion)","41","Hayley","23.07.20","Logan Penman","Lauren","Lizzy","Hayley","Yes","",9,10,"Y","2",NA,NA,NA,NA,NA,NA,"",-33.4158833,115.1513667
"67","2014-12_Geographe.Bay_stereoBRUVs","71","3","2014-12-13","10:58:00",NA,"Geographe Bay","Special Purpose Zone (Mining Exclusion)","24.4","Logan","19.08.20","Brooke Gibbons","Lizzy","Damo","Logan","Yes","",23,24,"","5",NA,NA,NA,NA,NA,NA,"",-33.4270833,115.4286667
"68","2014-12_Geographe.Bay_stereoBRUVs","72","1","2014-12-11","06:07:00",NA,"Geographe Bay","Special Purpose Zone (Mining Exclusion)","29.4","Hayley ","23.07.20","Logan Penman","Lizzy","Ronen","Hayley ","Yes","",25,26,"Y","2",NA,NA,NA,NA,NA,NA,"",-33.4624833,115.32235
"69","2014-12_Geographe.Bay_stereoBRUVs","73","1","2014-12-10","10:10:00",NA,"Geographe Bay","Special Purpose Zone (Mining Exclusion)","41.5","Hayley","23.07.20","Logan Penman","Lauren","Lizzy","Hayley","Yes","",11,12,"Y","2",NA,NA,NA,NA,NA,NA,"",-33.3718,115.1456
"70","2014-12_Geographe.Bay_stereoBRUVs","75","1","2014-12-12","08:52:00",NA,"Geographe Bay","Multiple Use Zone","16.6","Hayley","27.07.20","Logan Penman","Lauren","Lizzy","Hayley","Yes","",21,22,"","2",NA,NA,NA,NA,NA,NA,"",-33.5893333,115.29455
"71","2014-12_Geographe.Bay_stereoBRUVs","76","1","2014-12-11","07:01:00",NA,"Geographe Bay","Special Purpose Zone (Mining Exclusion)","35.2","Hayley","27.07.20","Logan Penman","Lizzy","Lizzy","Hayley","Yes","",13,14,"Y","2",NA,NA,NA,NA,NA,NA,"",-33.41295,115.2846833
"72","2014-12_Geographe.Bay_stereoBRUVs","77","1","2014-12-09","13:50:00",NA,"Geographe Bay","Special Purpose Zone (Mining Exclusion)","40.8","Hayley","27.07.20","Logan Penman","Lauren","Laura","Hayley","Yes","",13,14,"Y","1",NA,NA,NA,NA,NA,NA,"",-33.45575,115.1029
"73","2014-12_Geographe.Bay_stereoBRUVs","78","2","2014-12-13","06:18:00",NA,"Geographe Bay","Multiple Use Zone","13.4","Logan","13.07.20","Brooke Gibbons","Lauren","Lauren","Logan","Yes","",23,24,"","4",NA,NA,NA,NA,NA,NA,"",-33.5076,115.4437667
"74","2014-12_Geographe.Bay_stereoBRUVs","79","1","2014-12-12","08:16:00",NA,"Geographe Bay","Habitat Protection Zone","18.5","Hayley","27.07.20","Logan Penman","Lauren","Lizzy","Hayley","Yes","",9,10,"","2",NA,NA,NA,NA,NA,NA,"",-33.5874,115.2308833
"75","2014-12_Geographe.Bay_stereoBRUVs","80","1","2014-12-11","10:01:00",NA,"Geographe Bay"," ","20.7","Hayley","28.07.20 - Finishes at 8 minutes","","Lauren","Laura","Hayley","No","",25,26,"Y","1",NA,NA,NA,NA,NA,NA,"Left and right cams cut out in less than 10 mins, some fish present in this period",-33.3515833,115.5195333
"76","2014-12_Geographe.Bay_stereoBRUVs","81","1","2014-12-10","14:18:00",NA,"Geographe Bay","Special Purpose Zone (Mining Exclusion)","38.9","Hayley","28.07.20","Logan Penman","Laura","Tamy","Hayley","Yes","",25,26,"Y","2",NA,NA,NA,NA,NA,NA,"",-33.3788167,115.23045
"77","2014-12_Geographe.Bay_stereoBRUVs","82","1","2014-12-10","07:49:00",NA,"Geographe Bay","Special Purpose Zone (Mining Exclusion)","42.6","Hayley","28.07.20","Logan Penman","laura","Lizzy","Hayley","Yes","",11,12,"Y","1",NA,NA,NA,NA,NA,NA,"",-33.3955167,115.1102833
"78","2014-12_Geographe.Bay_stereoBRUVs","83","3","2014-12-13","10:26:00",NA,"Geographe Bay","Special Purpose Zone (Mining Exclusion)","24.6","Logan","29.08.20","Brooke Gibbons","Lauren","Damo","Logan","Yes","",5,6,"","5",NA,NA,NA,NA,NA,NA,"",-33.46935,115.37905
"79","2014-12_Geographe.Bay_stereoBRUVs","84","1","2014-12-10","11:28:00",NA,"Geographe Bay","Special Purpose Zone (Mining Exclusion)","41","Hayley","28.07.20","Logan Penman","Lizzy","Ronen","Hayley","Yes","",15,16,"Y","2",NA,NA,NA,NA,NA,NA,"Rear fail",-33.3964667,115.1924
"80","2014-12_Geographe.Bay_stereoBRUVs","86","1","2014-12-09","07:24:00",NA,"Geographe Bay","Multiple Use Zone","28.6","Hayley","29.07.20","Logan Penman","Lizzy","Ronen","Hayley","Yes","",15,16,"Y","2",NA,NA,NA,NA,NA,NA,"",-33.5405167,115.1785167
"81","2014-12_Geographe.Bay_stereoBRUVs","87","1","2014-12-13","07:49:00",NA,"Geographe Bay","Multiple Use Zone","13","Hayley","29.07.20","Logan Penman","Lauren","Damo","Hayley","Yes","",25,26,"","3",NA,NA,NA,NA,NA,NA,"",-33.4896,115.4589333
"82","2014-12_Geographe.Bay_stereoBRUVs","88","1","2014-12-09","09:45:00",NA,"Geographe Bay","Multiple Use Zone","31.4","Hayley","29.07.20","Logan Penman","Laura","Lizzy","Hayley","Yes","",21,22,"Y","1",NA,NA,NA,NA,NA,NA,"",-33.5010667,115.2145333
"83","2014-12_Geographe.Bay_stereoBRUVs","89","1","2014-12-10","06:58:00",NA,"Geographe Bay","Special Purpose Zone (Mining Exclusion)","43.9","","","","Lauren","Lizzy","","","",21,22,"Y","2",NA,NA,NA,NA,NA,NA,"",-33.3828167,115.0563833
"84","2014-12_Geographe.Bay_stereoBRUVs","90","1","2014-12-12","10:53:00",NA,"Geographe Bay","Multiple Use Zone","22","Hayley  ","31.07.21","Logan Penman","Laura","Damo","Hayley  ","Yes","",5,6,"","3",NA,NA,NA,NA,NA,NA,"",-33.5333167,115.3224833
"85","2014-12_Geographe.Bay_stereoBRUVs","91","1","2014-12-09","06:54:00",NA,"Geographe Bay","Habitat Protection Zone","29.8","Hayley  ","2.8.20","Logan Penman","Laura","Lizzy","Hayley  ","Yes","",11,12,"Y","1",NA,NA,NA,NA,NA,NA,"""SKIPPERS CHOICE""",-33.5396,115.2060833
"86","2014-12_Geographe.Bay_stereoBRUVs","92","1","2014-12-11","06:43:00",NA,"Geographe Bay","Special Purpose Zone (Mining Exclusion)","33","Hayley  ","3.8.20","Logan Penman","Lauren","Lauren","Hayley  ","Yes","",19,20,"Y","2",NA,NA,NA,NA,NA,NA,"",-33.4175833,115.3149833
"87","2014-12_Geographe.Bay_stereoBRUVs","93","","2014-12-09","12:59:00",NA,"Geographe Bay","Special Purpose Zone (Mining Exclusion)","36","","","","Laura","N/A","","","No",17,18,"Y","1",NA,NA,NA,NA,NA,NA,"CAM 17 FLOODED",-33.4813167,115.15275
"88","2014-12_Geographe.Bay_stereoBRUVs","95","1","2014-12-12","10:42:00",NA,"Geographe Bay","Multiple Use Zone","24.9","Hayley ","2.8.20","Logan Penman","Lauren","Laura","Hayley ","Yes","",13,14,"","3",NA,NA,NA,NA,NA,NA,"Leftcam cuts out after ~ 10 mins",-33.5175,115.3155333
"89","2014-12_Geographe.Bay_stereoBRUVs","96","1","2014-12-11","13:04:00",NA,"Geographe Bay","Special Purpose Zone (Mining Exclusion)","15.9","Hayley ","2.8.20","Logan Penman","Lauren","Lizzy","Hayley ","Yes","",21,22,"Y","1",NA,NA,NA,NA,NA,NA,"",-33.4489,115.4808167
"90","2014-12_Geographe.Bay_stereoBRUVs","97","1","2014-12-11","08:43:00",NA,"Geographe Bay","Special Purpose Zone (Mining Exclusion)","35.6","Hayley ","2.8.20","Logan Penman","Lizzy","Ronen","Hayley ","Yes","",15,16,"Y","2",NA,NA,NA,NA,NA,NA,"",-33.38465,115.2926667
"91","2014-12_Geographe.Bay_stereoBRUVs","98","","2014-12-10","10:56:00",NA,"Geographe Bay","Special Purpose Zone (Mining Exclusion)","38","","","","Lizzy","N/A","","","No",19,20,"L=FAIL R=YES","2",NA,NA,NA,NA,NA,NA,"Leftcam failed ~10s",-33.434,115.1726667
"92","2014-12_Geographe.Bay_stereoBRUVs","101","","2014-12-14","06:47:00",NA,"Geographe Bay","Special Purpose Zone (Mining Exclusion)","16.7","","","","Lizzy","Damo","","","",17,18,"","BH",NA,NA,NA,NA,NA,NA,"",-33.3885833,115.37675
"93","2014-12_Geographe.Bay_stereoBRUVs","100","1","2014-12-10","11:14:00",NA,"Geographe Bay","Special Purpose Zone (Mining Exclusion)","36.7","","","","Lauren","N/A","","","No",21,22,"Y","2",NA,NA,NA,NA,NA,NA,"Cals bad",-33.4324833,115.21415
"94","2014-12_Geographe.Bay_stereoBRUVs","102","1","2014-12-09","12:39:00",NA,"Geographe Bay","Multiple Use Zone","34.4","Hayley","3.8.20","Logan Penman","Lizzy","Laura","Hayley","Yes","",25,26,"Y","1",NA,NA,NA,NA,NA,NA,"",-33.5185,115.1196
"95","2014-12_Geographe.Bay_stereoBRUVs","103","1","2014-12-11","13:12:00",NA,"Geographe Bay","Special Purpose Zone (Mining Exclusion)","18.4","Hayley","3.8.20","Logan Penman","Lauren","Laura","Hayley","Yes","",13,14,"Y","1",NA,NA,NA,NA,NA,NA,"",-33.4581167,115.4547167
"96","2014-12_Geographe.Bay_stereoBRUVs","104","1","2014-12-09","10:04:00",NA,"Geographe Bay","Special Purpose Zone (Mining Exclusion)","33.3","Hayley","4.8.20 - Finishes at 20 mins","Logan Penman","Lauren","Lizzy","Hayley","Yes","",9,10,"Y","1",NA,NA,NA,NA,NA,NA,"Leftcam cuts out after ~ 20 mins, rightcam analysed instead",-33.4597333,115.2450667
"97","2014-12_Geographe.Bay_stereoBRUVs","106","2","2014-12-12","11:27:00",NA,"Geographe Bay","Multiple Use Zone","13.5","Logan","14.07.20","Brooke Gibbons","laura","Lauren","Logan","Yes","",25,26,"","4",NA,NA,NA,NA,NA,NA,"",-33.57825,115.3451333
"98","2014-12_Geographe.Bay_stereoBRUVs","107","2","2014-12-15","08:56:00",NA,"Geographe Bay","Multiple Use Zone","20.9","Logan","15.07.20","Brooke Gibbons","Lizzy","Laura","Logan","Yes","",15,16,"","3",NA,NA,NA,NA,NA,NA,"",-33.5833333,115.1881167
"99","2014-12_Geographe.Bay_stereoBRUVs","107","","2014-12-09","09:25:00",NA,"Geographe Bay","Multiple Use Zone","29.3","","","","Lauren","N/A","","","No",15,16,"L=FAIL R=YES","1",NA,NA,NA,NA,NA,NA,"Rightcam analysed",-33.5833333,115.1881167
"100","2014-12_Geographe.Bay_stereoBRUVs","108","2","2014-12-11","06:47:00",NA,"Geographe Bay","Special Purpose Zone (Mining Exclusion)","34","Logan","14.07.20","Brooke Gibbons","laura","Lauren","Logan","Yes","",5,6,"Y","4",NA,NA,NA,NA,NA,NA,"",-33.4690833,115.1676667
"101","2014-12_Geographe.Bay_stereoBRUVs","111","1","2014-12-12","10:55:00",NA,"Geographe Bay","Multiple Use Zone","21.9","Logan ","15.07.20","Brooke Gibbons","Laura","Damo","Logan ","Yes","",19,20,"","3",NA,NA,NA,NA,NA,NA,"",-33.5369,115.3219167
"102","2014-12_Geographe.Bay_stereoBRUVs","110","","2014-12-14","06:37:00",NA,"Geographe Bay","Special Purpose Zone (Mining Exclusion)","17","","","","Lauren","N/A","","","No",9,10,"","BH",NA,NA,NA,NA,NA,NA,"R FAIL ON ENTRY TO HOUSING",-33.4022667,115.3556833
"103","2014-12_Geographe.Bay_stereoBRUVs","112","1","2014-12-11","12:35:00",NA,"Geographe Bay","Special Purpose Zone (Mining Exclusion)","14.8","Hayley"," 4.8.20","Logan Penman","Laura","Lizzy","Hayley","Yes","",17,18,"Y","1",NA,NA,NA,NA,NA,NA,"",-33.4052,115.5224
"104","2014-12_Geographe.Bay_stereoBRUVs","113","3 (Left only)","2014-12-10","13:45:00",NA,"Geographe Bay","Special Purpose Zone (Mining Exclusion)","36.6","","","","Laura","Laura","","","",19,20,"Y","1L",NA,NA,NA,NA,NA,NA,"",-33.3658333,115.27785
"105","2014-12_Geographe.Bay_stereoBRUVs","114","3 (Right only)","2014-12-10","10:20:00",NA,"Geographe Bay","Special Purpose Zone (Mining Exclusion)","39.7","","","","Lizzy","Lizzy","","","",23,24,"Y","1R",NA,NA,NA,NA,NA,NA,"",-33.3984333,115.1639167
"106","2014-12_Geographe.Bay_stereoBRUVs","115","1","2014-12-13","10:46:00",NA,"Geographe Bay","Special Purpose Zone (Mining Exclusion)","25.2","Logan","16.07.20","Brooke Gibbons","Laura","Damo","Logan","Yes","",9,10,"","3",NA,NA,NA,NA,NA,NA,"",-33.4446333,115.4064667
"107","2014-12_Geographe.Bay_stereoBRUVs","116","1","2014-12-09","06:20:00",NA,"Geographe Bay","Multiple Use Zone","29.7","Hayley ","4.8.20","Logan Penman","Laura","Laura","Hayley ","Yes","",5,6,"Y","1",NA,NA,NA,NA,NA,NA,"",-33.4981667,115.2863667
"108","2014-12_Geographe.Bay_stereoBRUVs","122","2","2014-12-13","05:48:00",NA,"Geographe Bay","Multiple Use Zone","13.3","Logan","4.8.20","Brooke Gibbons","Lauren","Lauren","Logan","Yes","",13,14,"","4",NA,NA,NA,NA,NA,NA,"",-33.5375,115.4020833
"109","2014-12_Geographe.Bay_stereoBRUVs","119","2","2014-12-14","11:25:00",NA,"Geographe Bay","","5.2","","","","Lizzy","Laura","","","",17,18,"","3",NA,NA,NA,NA,NA,NA,"",-33.4388333,115.5567333
"110","2014-12_Geographe.Bay_stereoBRUVs","135","2","2014-12-16","12:54:00",NA,"Geographe Bay","Multiple Use Zone","15.8","Logan","4.8.20","Brooke Gibbons","Lauren","Laura","Logan","Yes","",11,12,"","3",NA,NA,NA,NA,NA,NA,"",-33.50185,115.4207333
"111","2014-12_Geographe.Bay_stereoBRUVs","139","3","2014-12-17","08:29:00",NA,"Geographe Bay","Multiple Use Zone","13.4","Daphne","20201005","","Lauren","Damo","Daphne","","",25,26,"","5",NA,NA,NA,NA,NA,NA,"",-33.60325,115.2736667
"112","2014-12_Geographe.Bay_stereoBRUVs","138","3","2014-12-15","06:50:00",NA,"Geographe Bay","","15","","","","Lauren","Damo","","","",17,18,"","5",NA,NA,NA,NA,NA,NA,"",-33.5808333,115.1139333
"113","2014-12_Geographe.Bay_stereoBRUVs","143","2","2014-12-15","13:24:00",NA,"Geographe Bay","Multiple Use Zone","23.2","Logan","5.8.20","Brooke Gibbons","Lizzy","Laura","Logan","Yes","",13,14,"","3",NA,NA,NA,NA,NA,NA,"",-33.5761667,115.2367
"114","2014-12_Geographe.Bay_stereoBRUVs","151","3","2014-12-16","09:12:00",NA,"Geographe Bay","Special Purpose Zone (Mining Exclusion)","17.2","Daphne","20201007","","Lizzy","Damo","Daphne","","",19,20,"","5",NA,NA,NA,NA,NA,NA,"",-33.4768,115.4328833
"115","2014-12_Geographe.Bay_stereoBRUVs","144","2","2014-12-16","15:37:00",NA,"Geographe Bay","","12.3",""," ","","Lauren","Laura","","","",13,14,"","3",NA,NA,NA,NA,NA,NA,"",-33.5342333,115.4323167
"116","2014-12_Geographe.Bay_stereoBRUVs","160","2","2014-12-16","15:24:00",NA,"Geographe Bay","Multiple Use Zone","N/A","Logan","5.8.20","Brooke Gibbons","Lauren","Damo","Logan","Yes","",19,20,"","3",NA,NA,NA,NA,NA,NA,"",-33.6033667,115.2477833
"117","2014-12_Geographe.Bay_stereoBRUVs","154","3","2014-12-15","10:58:00",NA,"Geographe Bay","","13.6","","","","Lauren","Damo","","","",23,24,"","5",NA,NA,NA,NA,NA,NA,"",-33.6033667,115.19675
