"","x","sample","uwa.con.number","date","time","site","location","status","depth","maxn.analyst","maxn.complete.yyyymmdd","maxn.checker","curtin.observer","curtin.length.analyst","observer","successful.count","successful.length","left.cam","right.cam","video.notes","con.hdd.number","raw.hdd.number","habitat.image.saved","vis.in.metres","habitat.classification","length.analyst","length.complete.date.yyyymmdd","notes","latitude","longitude"
"154","2014-12_Geographe.Bay_stereoBRUVs","330","","2014-12-15","06:44:00",NA,"Geographe Bay","","17.7","","","","Damon","N/A","","","N",13,14,"","4",NA,NA,NA,NA,NA,NA,"Both files are rightcam",-33.5691167,115.104
"155","2014-12_Geographe.Bay_stereoBRUVs","335","1","2014-12-12","08:09:00",NA,"Geographe Bay","Habitat Protection Zone","21.6","Hayley ","6.8.20","Logan Penman","Lauren","Lizzy","Hayley ","Yes","",23,24,"","2",NA,NA,NA,NA,NA,NA,"",-33.5771167,115.2266667
"156","2014-12_Geographe.Bay_stereoBRUVs","352","3","2014-12-16","08:45:00",NA,"Geographe Bay","Special Purpose Zone (Mining Exclusion)","15.2","Daphne","20201007","","Lizzy","Damo","Daphne","","",23,24,"","5",NA,NA,NA,NA,NA,NA,"",-33.4517667,115.4879833
"157","2014-12_Geographe.Bay_stereoBRUVs","346","2","2014-12-15","13:08:00",NA,"Geographe Bay","","14","","","","Lizzy","Laura","","","",11,12,"","3",NA,NA,NA,NA,NA,NA,"",-33.6092,115.2392833
"158","2014-12_Geographe.Bay_stereoBRUVs","375","2","2014-12-12","06:14:00",NA,"Geographe Bay","Habitat Protection Zone","26.9","Logan","18.08.20","Brooke Gibbons","Laura","Lauren","Logan","Yes","",19,20,"","4",NA,NA,NA,NA,NA,NA,"REAR FAIL",-33.5902167,115.2205667
"159","2014-12_Geographe.Bay_stereoBRUVs","362","3","2014-12-17","10:23:00",NA,"Geographe Bay","","9.4","","","","Laura","Damo","","","",19,20,"","5",NA,NA,NA,NA,NA,NA,"",-33.627,115.2948
"160","2014-12_Geographe.Bay_stereoBRUVs","368","3","2014-12-16","15:59:00",NA,"Geographe Bay","","3.7","","","","Laura","Damo","","","",25,26,"","5",NA,NA,NA,NA,NA,NA,"",-33.5725167,115.45125
"161","2014-12_Geographe.Bay_stereoBRUVs","378","2","2014-12-12","13:08:00",NA,"Geographe Bay","National Park Zone","13.3","Logan","26.07.20","Brooke Gibbons","Lauren","Damo","Logan","Yes","",11,12,"","3 (L) R (4)",NA,NA,NA,NA,NA,NA,"",-33.5555833,115.3912
"162","2014-12_Geographe.Bay_stereoBRUVs","384","1","2014-12-16","06:54:00",NA,"Geographe Bay","Special Purpose Zone (Mining Exclusion)","13.5","Hayley","6.8.20","Logan Penman","Lauren","Ronen","Hayley","Yes","",17,18,"","2",NA,NA,NA,NA,NA,NA,"",-33.4274667,115.51415
"163","2014-12_Geographe.Bay_stereoBRUVs","391","2","2014-12-13","08:23:00",NA,"Geographe Bay","Multiple Use Zone","17","Logan","27.07.20","Brooke Gibbons","Lizzy","Laura","Logan","Yes","",21,22,"","3",NA,NA,NA,NA,NA,NA,"Rear cam failed",-33.50165,115.4101333
"164","2014-12_Geographe.Bay_stereoBRUVs","394","2","2014-12-16","13:18:00",NA,"Geographe Bay","Multiple Use Zone","19","Logan","6.8.20","Brooke Gibbons","Lizzy","Lauren","Logan","Yes","",9,10,"","4",NA,NA,NA,NA,NA,NA,"",-33.5181,115.3820167
"165","2014-12_Geographe.Bay_stereoBRUVs","400","2","2014-12-14","08:58:00",NA,"Geographe Bay","Special Purpose Zone (Mining Exclusion)","9.8","Logan","23.07.20","Brooke Gibbons","Damon","Laura","Logan","Yes","",13,14,"","3",NA,NA,NA,NA,NA,NA,"",-33.3575833,115.5516833
"166","2014-12_Geographe.Bay_stereoBRUVs","395","3","2014-12-17","10:08:00",NA,"Geographe Bay","","9.2","","","","Laura","Damo","","","",9,10,"","5",NA,NA,NA,NA,NA,NA,"",-33.6072833,115.3444333
"167","2014-12_Geographe.Bay_stereoBRUVs","399","3","2014-12-17","10:17:00",NA,"Geographe Bay","","10.8","","","","Laura","Damo","","","",15,16,"","5",NA,NA,NA,NA,NA,NA,"",-33.6143333,115.31295
"168","2014-12_Geographe.Bay_stereoBRUVs","407","2","2014-12-13","08:13:00",NA,"Geographe Bay","Multiple Use Zone","16.2","Logan","7.8.20","Brooke Gibbons","Lauren","Laura","Logan","Yes","",19,20,"","3",NA,NA,NA,NA,NA,NA,"",-33.4881667,115.4274667
"169","2014-12_Geographe.Bay_stereoBRUVs","432","","2014-12-14","13:19:00",NA,"Geographe Bay","Special Purpose Zone (Mining Exclusion)","10.7","","","","Lauren","Damo","","","",23,24,"","BH",NA,NA,NA,NA,NA,NA,"",-33.4270333,115.4686
"170","2014-12_Geographe.Bay_stereoBRUVs","416","3","2014-12-17","10:34:00",NA,"Geographe Bay","","12.3","","","","Laura","Damo","","","",5,6,"","5",NA,NA,NA,NA,NA,NA,"",-33.6147833,115.2806167
"171","2014-12_Geographe.Bay_stereoBRUVs","428","1","2014-12-16","06:31:00",NA,"Geographe Bay","","7.6","","","","Lauren","Lizzy","","","",15,16,"","2",NA,NA,NA,NA,NA,NA,"",-33.45045,115.5572167
"172","2014-12_Geographe.Bay_stereoBRUVs","442","1","2014-12-12","13:28:00",NA,"Geographe Bay","Multiple Use Zone","14.3","","","","Lizzy","Lauren","","","",19,20,"","2",NA,NA,NA,NA,NA,NA,"UPSIDE DOWN, GOOD",-33.5066,115.41935
"173","2014-12_Geographe.Bay_stereoBRUVs","439","3","2014-12-17","10:29:00",NA,"Geographe Bay","","8.4","","","","Laura","Damo","","","",21,22,"","5",NA,NA,NA,NA,NA,NA,"",-33.6309333,115.2730667
"174","2014-12_Geographe.Bay_stereoBRUVs","443","2","2014-12-12","06:34:00",NA,"Geographe Bay","Habitat Protection Zone","27","Logan","27.07.20","Brooke Gibbons","Laura","Lauren","Logan","Yes","",11,12,"","4",NA,NA,NA,NA,NA,NA,"",-33.5698,115.2024833
"175","2014-12_Geographe.Bay_stereoBRUVs","448","3","2014-12-14","13:05:00",NA,"Geographe Bay","Special Purpose Zone (Mining Exclusion)","10.6","","","","Lizzy","Damo","","","",25,26,"","5",NA,NA,NA,NA,NA,NA,"",-33.3965,115.4930667
"176","2014-12_Geographe.Bay_stereoBRUVs","455","2","2014-12-15","08:42:00",NA,"Geographe Bay","Multiple Use Zone","24.9","Logan","27.07.20","Brooke Gibbons","Lizzy","Lauren","Logan","Yes","",13,14,"","4",NA,NA,NA,NA,NA,NA,"",-33.5671333,115.1820333
"177","2014-12_Geographe.Bay_stereoBRUVs","451","3","2014-12-14","11:32:00",NA,"Geographe Bay","","7.8","","","","Lauren","Damo","","","",23,24,"","5",NA,NA,NA,NA,NA,NA,"",-33.41975,115.5529
"178","2014-12_Geographe.Bay_stereoBRUVs","490","2","2014-12-17","06:20:00",NA,"Geographe Bay","Multiple Use Zone","13.4","Logan","6.8.20","Brooke Gibbons","Lizzy","Lauren","Logan","Yes","",19,20,"","4",NA,NA,NA,NA,NA,NA,"",-33.5613,115.3612
"179","2014-12_Geographe.Bay_stereoBRUVs","458","","2014-12-16","10:58:00",NA,"Geographe Bay","","6.2","","","","Lizzy","Damo","","","",19,20,"","BH",NA,NA,NA,NA,NA,NA,"Tiger",-33.51505,115.50435
"180","2014-12_Geographe.Bay_stereoBRUVs","463","1","2014-12-12","08:03:00",NA,"Geographe Bay","","24.3","","","","Lizzy","Tamy","","","",25,26,"","2",NA,NA,NA,NA,NA,NA,"",-33.51505,115.50435
"181","2014-12_Geographe.Bay_stereoBRUVs","474","1","2014-12-16","06:23:00",NA,"Geographe Bay","","6.8","","","","Laura","Lizzy","","","",21,22,"","2",NA,NA,NA,NA,NA,NA,"Rear fail",-33.4681167,115.5436
