"","modname","AICc","BIC","r2.vals","r2.vals.unique","edf","edf.less.1","delta.AICc","delta.BIC","wi.AICc","wi.BIC","complexity","sqrt.rug","sqrtLC","sqrtHC","sqrtMacro","SCORE1","SCORE2","ZONE"
"Planktivore.biomass.complexity+SCORE2","complexity+SCORE2",1015.23794077858,1037.84500170563,0.32327,NA,10.3,0,2.969,3.915,0.107,0.069,1,0,0,0,0,0,1,0
"Planktivore.biomass.complexity.by.ZONE+ZONE","complexity.by.ZONE+ZONE",1017.42811109083,1040.97035098661,0.34199,NA,11.23,0,5.159,7.04,0.036,0.015,1,0,0,0,0,0,0,1
"Planktivore.biomass.SCORE1+ZONE","SCORE1+ZONE",1021.2530272305,1042.87237804406,0.37408,NA,9.59,0,8.984,8.942,0.005,0.006,0,0,0,0,0,1,0,1
"Planktivore.biomass.SCORE1","SCORE1",1021.80937122171,1043.35682871674,0.3678,NA,9.35,0,9.541,9.427,0.004,0.004,0,0,0,0,0,1,0,0
"Planktivore.biomass.SCORE1+SCORE2","SCORE1+SCORE2",1024.90597145398,1047.5220823852,0.36809,NA,10.3,0,12.637,13.592,0.001,0.001,0,0,0,0,0,1,1,0
"Planktivore.biomass.SCORE1.by.ZONE+ZONE","SCORE1.by.ZONE+ZONE",1027.32319651267,1050.86492745372,0.37813,NA,11.24,0,15.054,16.935,0,0,0,0,0,0,0,1,0,1
"Planktivore.biomass.sqrt.rug+ZONE","sqrt.rug+ZONE",1037.73196709414,1059.3618996792,0.33677,NA,9.6,0,25.463,25.432,0,0,0,1,0,0,0,0,0,1
"Planktivore.biomass.sqrt.rug","sqrt.rug",1037.88419194256,1059.11885843917,0.32591,NA,8.97,0,25.615,25.189,0,0,0,1,0,0,0,0,0,0
"Planktivore.biomass.sqrt.rug.by.ZONE+ZONE","sqrt.rug.by.ZONE+ZONE",1040.6610015101,1064.34592329429,0.33975,NA,11.52,0,28.392,30.416,0,0,0,1,0,0,0,0,0,1
"Planktivore.biomass.SCORE2+sqrt.rug","SCORE2+sqrt.rug",1040.90487583572,1063.22334595097,0.32576,NA,9.91,0,28.636,29.293,0,0,0,1,0,0,0,0,1,0
"Planktivore.biomass.sqrtMacro+ZONE","sqrtMacro+ZONE",1049.30909650463,1071.84322755453,0.38016,NA,10.24,0,37.04,37.913,0,0,0,0,0,0,1,0,0,1
"Planktivore.biomass.sqrtMacro","sqrtMacro",1049.48653123946,1071.81969231782,0.37268,NA,9.81,0,37.218,37.889,0,0,0,0,0,0,1,0,0,0
"Planktivore.biomass.sqrtMacro.by.ZONE+ZONE","sqrtMacro.by.ZONE+ZONE",1052.9076676622,1076.55487757465,0.37482,NA,11.1,0,40.639,42.625,0,0,0,0,0,0,1,0,0,1
"Planktivore.biomass.SCORE2+sqrtMacro","SCORE2+sqrtMacro",1053.11640654774,1076.69924239399,0.37479,NA,10.93,0,40.848,42.769,0,0,0,0,0,0,1,0,1,0
"Planktivore.biomass.sqrtHC+sqrtLC","sqrtHC+sqrtLC",1062.90924870401,1085.91665910879,0.32267,NA,10.3,0,50.641,51.986,0,0,0,0,1,1,0,0,0,0
"Planktivore.biomass.null","null",1062.93287727109,1083.06531385274,0.27908,NA,8.06,0,50.664,49.135,0,0,0,0,0,0,0,0,0,0
"Planktivore.biomass.ZONE","ZONE",1063.05043503544,1083.53335385671,0.28248,NA,8.63,0,50.782,49.603,0,0,0,0,0,0,0,0,0,1
"Planktivore.biomass.sqrtLC","sqrtLC",1063.179177285,1085.25957190817,0.3146,NA,9.39,0,50.91,51.329,0,0,0,0,1,0,0,0,0,0
"Planktivore.biomass.sqrtLC+ZONE","sqrtLC+ZONE",1063.23608837886,1085.61371311681,0.32133,NA,9.9,0,50.967,51.683,0,0,0,0,1,0,0,0,0,1
"Planktivore.biomass.sqrtHC","sqrtHC",1063.98468172034,1085.34620835889,0.28384,NA,9.06,0,51.716,51.416,0,0,0,0,0,1,0,0,0,0
"Planktivore.biomass.sqrtHC+ZONE","sqrtHC+ZONE",1064.11851557664,1085.79536160688,0.28736,NA,9.63,0,51.85,51.865,0,0,0,0,0,1,0,0,0,1
"Planktivore.biomass.sqrtLC.by.ZONE+ZONE","sqrtLC.by.ZONE+ZONE",1066.22485313669,1089.17459691053,0.32233,NA,10.54,0,53.956,55.244,0,0,0,0,1,0,0,0,0,1
"Planktivore.biomass.SCORE2","SCORE2",1066.4714123971,1088.53278198611,0.288,NA,9.45,0,54.203,54.602,0,0,0,0,0,0,0,0,1,0
"Planktivore.biomass.SCORE2+ZONE","SCORE2+ZONE",1066.66701682926,1089.06534291472,0.29201,NA,10.04,0,54.398,55.135,0,0,0,0,0,0,0,0,1,1
"Planktivore.biomass.sqrtHC.by.ZONE+ZONE","sqrtHC.by.ZONE+ZONE",1067.21039626311,1089.95073420325,0.28563,NA,10.6,0,54.942,56.02,0,0,0,0,0,1,0,0,0,1
"Planktivore.biomass.SCORE2.by.ZONE+ZONE","SCORE2.by.ZONE+ZONE",1069.83381682809,1093.23134339271,0.29867,NA,10.98,0,57.565,59.301,0,0,0,0,0,0,0,0,1,1
