Sample,Status,Maxn.analyst,Maxn.complete.yyyymmdd,Maxn.checker
81,Special Purpose Zone (Mining Exclusion),Hayley,28.07.20,Logan Penman
82,Special Purpose Zone (Mining Exclusion),Hayley,28.07.20,Logan Penman
83,Special Purpose Zone (Mining Exclusion),Logan,29.08.20,Brooke Gibbons
84,Special Purpose Zone (Mining Exclusion),Hayley,28.07.20,Logan Penman
86,Multiple Use Zone,Hayley,29.07.20,Logan Penman
87,Multiple Use Zone,Hayley,29.07.20,Logan Penman
88,Multiple Use Zone,Hayley,29.07.20,Logan Penman
90,Multiple Use Zone,Hayley  ,31.07.21,Logan Penman
91,Habitat Protection Zone,Hayley  ,2.8.20,Logan Penman
92,Special Purpose Zone (Mining Exclusion),Hayley  ,3.8.20,Logan Penman
95,Multiple Use Zone,Hayley ,2.8.20,Logan Penman
96,Special Purpose Zone (Mining Exclusion),Hayley ,2.8.20,Logan Penman
97,Special Purpose Zone (Mining Exclusion),Hayley ,2.8.20,Logan Penman
102,Multiple Use Zone,Hayley,3.8.20,Logan Penman
103,Special Purpose Zone (Mining Exclusion),Hayley,3.8.20,Logan Penman
106,Multiple Use Zone,Logan,14.07.20,Brooke Gibbons
107,Multiple Use Zone,Logan,15.07.20,Brooke Gibbons
108,Special Purpose Zone (Mining Exclusion),Logan,14.07.20,Brooke Gibbons
111,Multiple Use Zone,Logan ,15.07.20,Brooke Gibbons
112,Special Purpose Zone (Mining Exclusion),Hayley, 4.8.20,Logan Penman
115,Special Purpose Zone (Mining Exclusion),Logan,16.07.20,Brooke Gibbons
116,Multiple Use Zone,Hayley ,4.8.20,Logan Penman
122,Multiple Use Zone,Logan,4.8.20,Brooke Gibbons
135,Multiple Use Zone,Logan,4.8.20,Brooke Gibbons
143,Multiple Use Zone,Logan,5.8.20,Brooke Gibbons
160,Multiple Use Zone,Logan,5.8.20,Brooke Gibbons
167,Special Purpose Zone (Mining Exclusion),Logan,29.08.20,Brooke Gibbons
170,National Park Zone,Logan,10.8.20,Brooke Gibbons
183,Multiple Use Zone,Logan,16.07.20,Brooke Gibbons
196,Multiple Use Zone,Logan,5.8.20,Brooke Gibbons
207,Habitat Protection Zone,Hayley,4.8.20,Logan Penman
224,Special Purpose Zone (Mining Exclusion),Hayley,4.8.20,Logan Penman
240,Special Purpose Zone (Mining Exclusion),Logan,24.08.20,Brooke Gibbons
256,Special Purpose Zone (Mining Exclusion),Logan,24.08.20,Brooke Gibbons
270,Multiple Use Zone,Logan ,21.07.20,Brooke Gibbons
271,Habitat Protection Zone,Logan ,21.07.20,Brooke Gibbons
272,Special Purpose Zone (Mining Exclusion),Logan (ends 54:39),24.08.20,Brooke Gibbons
282,Multiple Use Zone,Logan,25.08.20,Brooke Gibbons
287,Habitat Protection Zone,Logan,27.07.20,Brooke Gibbons
288,Special Purpose Zone (Mining Exclusion),Logan,31.08.20,Brooke Gibbons
327,Multiple Use Zone,Logan,6.8.20,Brooke Gibbons
331,Multiple Use Zone,Logan,22.07.20,Brooke Gibbons - check wrasse with Todd
335,Habitat Protection Zone,Hayley ,6.8.20,Logan Penman
375,Habitat Protection Zone,Logan,18.08.20,Brooke Gibbons
378,National Park Zone,Logan,26.07.20,Brooke Gibbons
384,Special Purpose Zone (Mining Exclusion),Hayley,6.8.20,Logan Penman
391,Multiple Use Zone,Logan,27.07.20,Brooke Gibbons
394,Multiple Use Zone,Logan,6.8.20,Brooke Gibbons
400,Special Purpose Zone (Mining Exclusion),Logan,23.07.20,Brooke Gibbons
407,Multiple Use Zone,Logan,7.8.20,Brooke Gibbons
443,Habitat Protection Zone,Logan,27.07.20,Brooke Gibbons
455,Multiple Use Zone,Logan,27.07.20,Brooke Gibbons
490,Multiple Use Zone,Logan,6.8.20,Brooke Gibbons
506,Multiple Use Zone,Logan ,10.8.20,Brooke Gibbons
523,Multiple Use Zone,Logan,29.07.20,Brooke Gibbons
527,Habitat Protection Zone,Logan,6.8.20,Brooke Gibbons
554,National Park Zone,Logan ,25.08.20,Brooke Gibbons - one to ask brooke chasing rubescens
583,Special Purpose Zone (Mining Exclusion),Logan,23.07.20,Brooke Gibbons
599,Multiple Use Zone,Logan,7.8.20,Brooke Gibbons
624,Special Purpose Zone (Mining Exclusion),Hayley ,6.8.20,Logan Penman
634,Multiple Use Zone,Logan,25.08.20,Brooke Gibbons
647,Multiple Use Zone,Logan,30.07.20,Brooke Gibbons
666,National Park Zone,Logan,26.08.20,Brooke Gibbons
682,Multiple Use Zone,Logan,25.08.20,Brooke Gibbons
694,Multiple Use Zone,Logan,7.8.20,Brooke Gibbons
698,Multiple Use Zone,Hayley ,6.8.20,Logan Penman
719,Habitat Protection Zone,Logan,10.8.20,Brooke Gibbons
746,Multiple Use Zone,Logan,25.08.20,Brooke Gibbons
748,Special Purpose Zone (Mining Exclusion),Logan,30.07.20,Brooke Gibbons
764,Special Purpose Zone (Mining Exclusion),Logan,28.07.20,Brooke Gibbons
