Sample,Latitude,Longitude,Date,Time,Location,Status,Site,Depth,Observer,Successful.count,Successful.length,Comment
527,-33.5894167,115.2078167,20141212,06:16:00,Geographe.Bay,Fished,NA,26.8,laura,Yes,Yes,NA
528,-33.48105,115.4971,20141216,08:34:00,Geographe.Bay,Fished,NA,14,Lauren,Yes,Yes,NA
538,-33.5839167,115.3846667,20141217,05:53:00,Geographe.Bay,Fished,NA,11.6,Laura,Yes,Yes,NA
543,-33.5950333,115.2434,20141215,13:13:00,Geographe.Bay,Fished,NA,16.7,Lauren,Yes,Yes,NA
544,-33.4464167,115.43405,20141214,13:36:00,Geographe.Bay,Fished,NA,12.3,Lauren,Yes,Yes,NA
551,-33.5735167,115.3901333,20141217,05:58:00,Geographe.Bay,Fished,NA,11.7,Lizzy,Yes,Yes,NA
554,-33.55765,115.3835167,20141217,06:13:00,Geographe.Bay,Fished,NA,12.3,Laura,Yes,Yes,NA
560,-33.4381667,115.5268667,20141216,06:49:00,Geographe.Bay,Fished,NA,14.6,Lauren,Yes,Yes,NA
567,-33.5866833,115.2760167,20141217,08:23:00,Geographe.Bay,Fished,NA,17.4,Lizzy,Yes,Yes,NA
570,-33.5731333,115.1625333,20141215,08:31:00,Geographe.Bay,Fished,NA,24.6,Lauren,Yes,Yes,NA
572,-33.3913,115.5492167,20141214,10:54:00,Geographe.Bay,Fished,NA,8.1,Lauren,Yes,Yes,NA
579,-33.5017167,115.37405,20141216,13:10:00,Geographe.Bay,Fished,NA,22,Laura,Yes,Yes,NA
583,-33.47835,115.3932,20141214,13:55:00,Geographe.Bay,Fished,NA,12,Damon,Yes,Yes,NA
586,-33.5309167,115.38595,20141216,13:24:00,Geographe.Bay,Fished,NA,15.8,Lizzy,Yes,Yes,NA
587,-33.5934667,115.1873833,20141215,11:03:00,Geographe.Bay,Fished,NA,16.6,Lizzy,Yes,Yes,NA
592,-33.5185,115.4460167,20141216,11:15:00,Geographe.Bay,Fished,NA,12.3,Laura,Yes,Yes,NA
599,-33.5021167,115.4508,20141213,06:22:00,Geographe.Bay,Fished,NA,13.9,Laura,Yes,Yes,NA
602,-33.6202,115.25615,20141215,12:57:00,Geographe.Bay,Fished,NA,11.2,Lauren,Yes,Yes,NA
608,-33.4551833,115.4702833,20141216,09:01:00,Geographe.Bay,Fished,NA,16.7,Lauren,Yes,Yes,NA
611,-33.5421333,115.4590333,20141216,15:45:00,Geographe.Bay,Fished,NA,8.2,Laura,Yes,Yes,NA
615,-33.5980667,115.3327667,20141217,09:56:00,Geographe.Bay,Fished,NA,11.8,Lauren,Yes,Yes,NA
618,-33.5678833,115.3528167,20141217,05:40:00,Geographe.Bay,Fished,NA,14.5,Lizzy,Yes,Yes,NA
623,-33.6129333,115.1556167,20141215,10:24:00,Geographe.Bay,Fished,NA,7.8,Lizzy,Yes,Yes,NA
624,-33.4209667,115.4918833,20141216,07:03:00,Geographe.Bay,Fished,NA,17.5,Lizzy,Yes,Yes,NA
631,-33.5778833,115.2541167,20141215,13:33:00,Geographe.Bay,Fished,NA,21,Lauren,Yes,Yes,NA
633,-33.4711667,115.4535,20141216,09:18:00,Geographe.Bay,Fished,NA,16.2,Lauren,Yes,Yes,NA
634,-33.5336667,115.4141167,20141216,15:30:00,Geographe.Bay,Fished,NA,13,Laura,Yes,Yes,NA
635,-33.5809667,115.1995667,20141215,08:52:00,Geographe.Bay,Fished,NA,21.2,Lauren,Yes,Yes,NA
640,-33.5162,115.4646167,20141216,11:10:00,Geographe.Bay,Fished,NA,11.5,Lizard,Yes,Yes,NA
647,-33.4926,115.42465,20141213,08:17:00,Geographe.Bay,Fished,NA,15.3,Lauren,Yes,Yes,NA
650,-33.5131167,115.3715667,20141216,13:14:00,Geographe.Bay,Fished,NA,21.1,Lizzy,Yes,Yes,NA
655,-33.5812,115.2456833,20141215,13:20:00,Geographe.Bay,Fished,NA,20.5,Lauren,Yes,Yes,NA
656,-33.3713167,115.5503833,20141214,09:28:00,Geographe.Bay,Fished,NA,9,Lauren,Yes,Yes,NA
666,-33.5511167,115.35715,20141217,06:25:00,Geographe.Bay,Fished,NA,15.6,Lizzy,Yes,Yes,NA
672,-33.4004333,115.53565,20141214,11:45:00,Geographe.Bay,Fished,NA,8.4,Lauren,Yes,Yes,NA
679,-33.4721333,115.4152667,20141214,13:48:00,Geographe.Bay,Fished,NA,12,Lauren,Yes,Yes,NA
682,-33.5696167,115.3354167,20141217,07:57:00,Geographe.Bay,Fished,NA,15.2,Damon,Yes,Yes,NA
684,-33.5845333,115.1735,20141215,09:00:00,Geographe.Bay,Fished,NA,20.6,Lizzy,Yes,Yes,NA
688,-33.6026333,115.3181333,20141217,09:52:00,Geographe.Bay,Fished,NA,12.8,Laura,Yes,Yes,NA
694,-33.5280667,115.34985,20141216,13:32:00,Geographe.Bay,Fished,NA,21.3,Lizzy,Yes,Yes,NA
698,-33.5246167,115.4035333,20141212,13:25:00,Geographe.Bay,Fished,NA,14,Lizzy,Yes,Yes,NA
704,-33.48475,115.5324,20141216,06:15:00,Geographe.Bay,Fished,NA,7.45,Lizzy,Yes,Yes,NA
