"sample","scientific","maxn","family","genus","species","campaignid","latitude","longitude","date","time","location","status","site","depth","observer","successful.count","successful.length","comment","id"
"143","Sparidae Chrysophrys auratus",2,"Sparidae","Chrysophrys","auratus","2014-12_Geographe.Bay_stereoBRUVs",-33.5761667,115.2367,20141215,13:24:00,"Geographe.Bay","Fished","NA",23.2,"Lizzy","Yes","Yes","NA","2014-12_Geographe.Bay_stereoBRUVs.143"
"144","Sparidae Chrysophrys auratus",0,"Sparidae","Chrysophrys","auratus","2014-12_Geographe.Bay_stereoBRUVs",-33.5342333,115.4323167,20141216,15:37:00,"Geographe.Bay","Fished","NA",12.3,"Lauren","Yes","Yes","NA","2014-12_Geographe.Bay_stereoBRUVs.144"
"15","Sparidae Chrysophrys auratus",0,"Sparidae","Chrysophrys","auratus","2014-12_Geographe.Bay_stereoBRUVs",-33.5782333,115.2147833,20141212,06:27:00,"Geographe.Bay","Fished","NA",26.2,"laura","Yes","Yes","NA","2014-12_Geographe.Bay_stereoBRUVs.15"
"151","Sparidae Chrysophrys auratus",0,"Sparidae","Chrysophrys","auratus","2014-12_Geographe.Bay_stereoBRUVs",-33.4768,115.4328833,20141216,09:12:00,"Geographe.Bay","Fished","NA",17.2,"Lizzy","Yes","Yes","NA","2014-12_Geographe.Bay_stereoBRUVs.151"
"154","Sparidae Chrysophrys auratus",0,"Sparidae","Chrysophrys","auratus","2014-12_Geographe.Bay_stereoBRUVs",-33.6033667,115.19675,20141215,10:58:00,"Geographe.Bay","Fished","NA",13.6,"Lauren","Yes","Yes","NA","2014-12_Geographe.Bay_stereoBRUVs.154"
"16","Sparidae Chrysophrys auratus",0,"Sparidae","Chrysophrys","auratus","2014-12_Geographe.Bay_stereoBRUVs",-33.3889,115.4986167,20141211,12:21:00,"Geographe.Bay","Fished","NA",20,"Lauren","Yes","Yes","NA","2014-12_Geographe.Bay_stereoBRUVs.16"
"160","Sparidae Chrysophrys auratus",0,"Sparidae","Chrysophrys","auratus","2014-12_Geographe.Bay_stereoBRUVs",-33.6033667,115.2477833,20141216,15:24:00,"Geographe.Bay","Fished","NA",13.8,"Lauren","Yes","Yes","NA","2014-12_Geographe.Bay_stereoBRUVs.160"
"167","Sparidae Chrysophrys auratus",1,"Sparidae","Chrysophrys","auratus","2014-12_Geographe.Bay_stereoBRUVs",-33.4627333,115.4805667,20141216,09:25:00,"Geographe.Bay","Fished","NA",14.4,"Laura","Yes","Yes","NA","2014-12_Geographe.Bay_stereoBRUVs.167"
"17","Sparidae Chrysophrys auratus",2,"Sparidae","Chrysophrys","auratus","2014-12_Geographe.Bay_stereoBRUVs",-33.3635833,115.23265,20141210,13:27:00,"Geographe.Bay","Fished","NA",38.8,"Laura","Yes","Yes","NA","2014-12_Geographe.Bay_stereoBRUVs.17"
"170","Sparidae Chrysophrys auratus",0,"Sparidae","Chrysophrys","auratus","2014-12_Geographe.Bay_stereoBRUVs",-33.54165,115.3698333,20141216,13:39:00,"Geographe.Bay","Fished","NA",15.8,"Lizzy","Yes","Yes","NA","2014-12_Geographe.Bay_stereoBRUVs.170"
