"sample","legal","number"
"82","legal",0
"82","non-legal",0
"823","legal",3
"823","non-legal",1
"826","legal",12
"826","non-legal",0
"828","legal",1
"828","non-legal",2
"83","legal",0
"83","non-legal",1
"832","legal",0
"832","non-legal",2
"839","legal",0
"839","non-legal",1
"84","legal",1
"84","non-legal",6
"842","legal",4
"842","non-legal",10
"843","legal",1
"843","non-legal",0
"848","legal",0
"848","non-legal",2
"855","legal",25
"855","non-legal",3
"858","legal",1
"858","non-legal",0
"86","legal",0
"86","non-legal",4
"864","legal",0
"864","non-legal",1
"87","legal",1
"87","non-legal",2
"879","legal",0
"879","non-legal",0
"88","legal",3
"88","non-legal",19
"880","legal",0
"880","non-legal",3
"89","legal",0
"89","non-legal",0
"9","legal",0
"9","non-legal",0
"90","legal",1
"90","non-legal",5
"91","legal",0
"91","non-legal",1
"92","legal",0
"92","non-legal",0
"93","legal",0
"93","non-legal",0
"95","legal",0
"95","non-legal",3
"96","legal",2
"96","non-legal",0
"97","legal",3
"97","non-legal",1
"98","legal",0
"98","non-legal",0
"99","legal",2
"99","non-legal",1
"GBR-BOB","legal",0
"GBR-BOB","non-legal",2
"GBR1-1","legal",10
"GBR1-1","non-legal",3
"GBR1-2","legal",1
"GBR1-2","non-legal",1
"GBR1-3","legal",0
"GBR1-3","non-legal",1
"GBR1-4","legal",3
"GBR1-4","non-legal",3
"GBR2-1","legal",1
"GBR2-1","non-legal",7
"GBR2-2","legal",0
"GBR2-2","non-legal",3
"GBR2-3","legal",35
"GBR2-3","non-legal",2
"GBR2-4","legal",0
"GBR2-4","non-legal",0
"GBR3-1","legal",0
"GBR3-1","non-legal",1
"GBR3-2","legal",0
"GBR3-2","non-legal",0
"GBR3-3","legal",4
"GBR3-3","non-legal",0
"GBR3-4","legal",10
"GBR3-4","non-legal",6
"GBR4-1","legal",4
"GBR4-1","non-legal",5
"GBR4-2","legal",0
"GBR4-2","non-legal",1
"GBR5-1","legal",6
"GBR5-1","non-legal",5
"GBR5-2","legal",0
"GBR5-2","non-legal",5
"GBR5-3","legal",0
"GBR5-3","non-legal",0
"RB1","legal",0
"RB1","non-legal",0
"RB2","legal",5
"RB2","non-legal",6
"RC1","legal",4
"RC1","non-legal",12
"RC2","legal",6
"RC2","non-legal",5
"RC3","legal",9
"RC3","non-legal",7
