"sample","mass.total","mass.20cm","mass.30cm"
"28",5150.47214415661,3407.56770951964,3284.92149768174
"282",2756.07553878339,2378.83236265758,686.376075346533
"287",10262.6188887738,7560.7998490966,3344.48559282519
"288",58468.1433824584,58210.8574260362,57957.2683897137
"29",15879.2755973851,13570.2561174192,11005.0535601771
"295",12760.5614306882,12631.6607568626,12025.8544839953
"298",13934.8584358379,13870.9106462509,11116.0675641985
"3",5692.61451626275,3500.46091211589,2631.51988393251
"30",1714.54444644976,1430.97595856075,550.226960316303
"304",34161.445917219,31006.9620968549,28156.2972375019
"31",6782.3362405393,6632.37408606638,6447.86960992884
"314",35861.5807522057,35158.1355096506,33653.3040355729
"316",19254.7500588301,18049.0051790108,17337.4369579923
"32",1874.85033330917,1701.36679875812,355.423399631291
"320",16482.2412294257,16234.8312365057,15639.9744776999
"327",4204.44985495423,3294.09292092201,2356.75447776098
"33",0,0,0
"330",0,0,0
"331",16333.4320505227,15998.9280390638,10657.1667082264
"335",8428.41025172848,8162.84966195406,8162.84966195406
"34",0,0,0
"346",16312.7309115631,16029.7417549564,11554.3930731098
"35",39446.8729929935,38940.7275744707,36668.371699555
"352",8319.99610640144,7949.7429859233,6392.65510759613
"36",1045.90573544436,503.072068006313,0
"362",12078.7997184985,11707.7029520561,11042.8758636739
"368",2718.51090519474,2718.51090519474,1704.89356978935
"37",4340.38560376074,3181.23498324002,1969.85961418434
"375",39.194755738765,0,0
"378",29933.7653361789,29471.4349241086,29296.8936101133
"38",15107.5125963472,14163.7173754995,13139.6708203686
"384",17139.0731495792,15725.6877024742,10541.4247330642
"39",7932.65741150003,7535.77421053679,6377.68735058712
"391",10676.3673427178,10172.8394108423,8930.05737037689
"394",5735.14351726555,4858.7164524119,3981.83141974485
"395",6074.099691448,5880.10511979701,5880.10511979701
"399",4940.92539691962,3178.42064012108,3063.53586838464
"4",6776.4073037593,6290.07908314755,6290.07908314755
"40",5359.50328454439,0,2978.00216003803
"400",865.285998832366,511.446265782824,0
"407",12050.3259646326,11432.7945228047,9932.86710496154
"41",2281.45459855142,2202.94232153389,1969.08862007732
"416",13693.5201009767,12797.4888036227,12797.4888036227
"42",1656.12898003812,1438.01831041086,535.479155090676
"428",6122.24199798672,5829.64978711696,2398.993206092
"432",6382.02956821904,5931.7237076119,5691.22754882747
"439",10090.2273449479,10058.2681490889,9914.40279655369
"44",7058.54398008981,6583.01430540042,3834.94812625391
"442",280.645633420555,106.772393370332,0
"443",18940.1384769559,18720.9241495356,18720.9241495356
"448",1196.57215628399,691.455656591917,240.403174632435
"45",6502.51621874303,0,5398.64108206776
"451",232.694199385974,114.605187932672,0
"455",9392.36173579327,9281.96794606086,9281.96794606086
"458",203.039285407888,203.039285407888,0
"46",3896.99458437077,3588.91644451435,2829.49551115954
"463",10543.4020753628,10543.4020753628,7232.27098506365
"47",4546.49909371462,4381.58973437243,4288.03377592615
"474",983.38642567455,972.913256165442,972.913256165442
"48",1145.82194906738,859.895874009371,205.614748616038
"480",0,0,0
"49",4116.79455350285,3905.3126372167,3752.24609274049
"490",11861.7535124374,11154.7377471068,4733.0162239433
"492",1601.35497340991,936.684513533452,818.024368410836
"496",9078.36224335157,8855.18163604821,7978.91094269845
"499",445.779673386252,445.779673386252,0
"5",18866.5529192675,17875.5782396707,17875.5782396707
"50",0,0,0
"503",4415.73846405276,3196.25843409191,2880.20738204592
"506",9496.16034996869,8868.73103515304,8452.36014841349
"51",0,0,0
"512",1210.81425203734,916.385781021887,218.853959849498
"52",0,0,0
"523",3320.53006999964,1650.06404265639,783.909325751321
"527",51215.4032679425,50360.7981834508,49016.3614522865
"528",1386.03228123901,1178.44027333577,0
"53",5785.75755998078,3224.5465159508,2984.86384085128
"538",1135.42934592716,980.060609062442,923.019369668416
"54",18072.0803764204,17823.1050703953,14407.0344083443
"543",8217.54170654401,6608.93409792252,4695.7192781426
"544",4683.69365120003,4205.35101673092,3793.59374635388
"55",2058.22869472648,2015.66482805889,1704.79324032041
"551",0,0,0
"554",3732.04324315834,3604.89995294022,1823.69833808524
"56",0,0,0
"560",9697.76923798951,9302.00117992761,6562.50479132746
"567",473.267976275887,453.882725503252,453.882725503252
"570",17483.7541221704,17310.4603499872,14837.5363932411
"572",0,0,0
"579",9584.29266779054,8912.79220809702,7864.20320832384
"58",2751.19781152081,2538.5438116176,2230.63857354676
"583",31146.9318416931,30828.6244066505,30370.9977972761
"586",0,0,0
"587",9589.2489273445,9226.97198319321,5730.40139813806
"592",6216.60855794339,6164.43304893261,5781.52200672398
"599",13350.5013271354,13107.6024625194,12014.5830248722
"6",2846.36781392221,1714.92878577566,1185.53889255623
"60",1673.08635065968,1323.62443878342,257.794609792264
"602",966.904133635143,529.100119084578,529.100119084578
"608",6611.47783434718,6242.55084949982,5861.64831425068
"61",10806.8676122684,10778.3674323252,8187.01037141624
"611",10494.6459596231,10397.9555863641,9244.59137844325
"615",2791.98011206471,2254.93177022163,2254.93177022163
"618",0,0,0
"62",1853.37345116637,1626.25784930678,1091.29588335304
"623",3550.99960280466,3435.53522293044,2944.99640106689
"624",2486.53462532828,2038.32136201353,1158.14319528043
"63",14942.9907286945,14821.0942287287,14136.5166694651
"631",5475.69683957138,5357.17387538071,4519.5790592573
"633",22392.3266672645,22075.1084785653,20370.1262421371
"634",7869.98756833549,7742.12995228766,6415.72040382418
"635",9995.56226546458,9483.50892633413,9087.96363669611
"64",4415.69649901469,4091.94630994316,3460.17670171075
"640",2431.30891273972,2256.23964685093,2070.72853967354
"647",4587.61465734496,3947.17447381826,2721.87564527306
"65",6987.98475531416,6817.74470106218,6738.54018282212
"650",0,0,0
"655",18139.5085586376,17520.3295173504,16415.6792667423
"656",0,0,0
"666",21306.8362958081,19473.5178048361,15407.4577930034
"67",17455.1069053344,17080.9779484224,14035.0533399841
"672",0,0,0
"679",182.80626680854,0,0
"68",0,0,0
"682",9573.50330172438,7997.40925125645,5456.84363850614
"684",10310.1351147987,9828.01509841358,9828.01509841358
"688",2015.91996739283,1689.93216644546,1447.91615772516
"69",3870.88738973874,501.123725503996,0
"694",37749.3664358143,37393.4624513316,35648.3448411335
"698",8608.13534475195,8294.79696770717,7833.06539492928
"7",10261.5490979632,9038.06058519272,8990.25971156582
"70",22279.3066046653,22089.9341061859,21641.4821287049
"704",960.499126933747,0,0
"71",6563.60692462249,5274.44454805004,4567.33296840418
"711",5151.98458436209,3847.75568692559,450.483943629051
"714",11719.8981686741,11392.0643561025,8519.91135205471
"719",4309.60611753378,3171.28591630044,2858.71460097642
"72",11548.5246677366,11297.1728196459,8318.09385687897
"720",1423.325240294,1239.14333916901,553.877470084673
"73",17140.2686666783,17140.2686666783,17140.2686666783
"735",9795.68948491535,8542.7276661203,7472.11727910961
"736",1205.37550456775,435.385729752499,349.424980075076
"746",112.246526187933,0,0
"748",7511.20388000488,7043.57005171015,6040.66423966503
"75",2143.85891768363,1678.85086150257,1069.2474729513
"752",545.913340451103,392.824255885043,392.824255885043
"755",25066.4668769554,24553.1158584109,24251.3366495424
"759",22244.5265599651,20789.2426923313,20536.6054142433
"76",4138.55792988213,2997.03570241499,1242.38656589888
"762",0,0,0
"764",14487.6933191066,13933.4466065988,11562.8074443861
"77",8859.93289026337,8126.74670525541,6086.12390068316
"779",0,0,0
"78",10870.9614872259,10559.2461902951,8610.04237302148
"782",8772.51110222056,8675.91908211109,7285.28648213229
"783",10906.3494490537,10823.6811405774,10166.3458101868
"784",23104.3102399521,22324.018684038,19813.4815869272
"79",1816.56923560826,1606.8239542977,1158.85612048181
"791",10487.6861404966,9779.56393783825,8957.16362660385
"794",16521.0614667355,16468.3611172343,16468.3611172343
"80",412.17235080819,311.530295746385,311.530295746385
"800",22295.5541854102,21529.7164785075,20426.0612851152
"807",6426.85627773035,5780.00078794651,3974.63545236386
"81",6819.48275563173,1162.86419368305,143.010218583468
"810",3394.09686088329,2590.88878255758,1445.71749645833
"816",1493.07524267512,990.413155170798,990.413155170798
"82",6924.70741636371,2163.02370764426,1866.78044400214
"823",27508.7979387287,26696.7797356666,25939.0016701371
"826",3352.36365785741,2591.78588613464,709.215030854837
"828",5331.39805860062,4692.96606641561,3395.3389692925
"83",1826.04448268664,1392.01143698069,1392.01143698069
"832",3607.00645065317,3547.9198681351,3547.9198681351
"839",5896.20071364008,5707.95059044961,5404.72784411371
"84",6955.15916964045,3057.3758615724,762.301605417136
"842",27279.2377750267,26266.0174567694,24353.9061297635
"843",21946.2524319061,21360.9434552489,20237.248335564
"848",4260.24484696916,3984.69366431009,1547.77685463139
"855",43330.6975755446,42744.5696707934,37864.8237618144
"858",24620.0225808193,23979.1679147866,20788.303303682
"86",14399.927222732,13180.6554401836,12282.9981626421
"864",10743.083124462,10597.8947822721,10264.338536451
"87",7565.10467763197,6626.5674257271,5964.35563775129
"879",25038.587354658,24769.4517242082,24561.9990220213
"88",9678.83610250387,8083.61780422563,6686.69603315654
"880",42067.5921082632,41979.9866884384,40366.7232174317
"89",9598.03979208711,3420.80591324572,1760.3987695477
"9",0,0,0
"90",1505.21457647371,1094.52260916422,834.731038574102
"91",7743.10149434274,7625.5957689733,6856.63664748945
"92",5403.36941393942,566.514470936188,0
"93",0,0,0
"95",4876.9094152432,4140.63473215655,2862.42048740362
"96",1277.82487903674,1168.10806281601,1168.10806281601
"97",36609.5823138175,36121.756584544,33463.208854327
"98",0,0,0
"99",13880.586926653,12982.1233645819,12127.9443967612
"GBR-BOB",8656.28462603929,7836.71478807707,4441.37718465436
"GBR1-1",28739.357175281,27946.3149226058,22272.5329451782
"GBR1-2",12666.1887843348,12283.112973636,9677.79262066055
"GBR1-3",6642.53319084907,6098.78516739502,2992.37882682693
"GBR1-4",9133.77640961743,8197.37083537062,3082.46613296812
"GBR2-1",12550.9733577174,11157.4958078495,4238.30417956582
"GBR2-2",9192.03805730594,8675.11646921451,4025.50012364668
"GBR2-3",44835.8551007845,44220.2781915311,40804.7872203675
"GBR2-4",0,0,0
"GBR3-1",6548.52031533223,4638.89120372751,1015.54125041867
"GBR3-2",0,0,0
"GBR3-3",63796.7091168534,60712.8978634236,56822.8003622104
"GBR3-4",8508.55396621987,6767.07320209853,3433.98015600417
"GBR4-1",21339.0986744699,18910.1150494157,14853.4622537546
"GBR4-2",5307.22051814299,5034.62300201367,4276.14039735625
"GBR5-1",62819.7630889046,61726.6505810262,55335.3427766166
"GBR5-2",7762.035211427,6991.99720428356,3672.37374176667
"GBR5-3",10141.6501298016,9717.23724407343,8652.90978157613
"RB1",1659.54678237012,1581.12355030037,1460.95541024284
"RB2",6491.72595610503,5449.24665342829,4432.51272896107
"RC1",27102.9862717084,23243.1105571744,18841.5848738947
"RC2",9398.26369627626,6950.59687872573,5315.39862698078
"RC3",34487.7393945128,30874.4221275535,26882.7286128257
